participantRole,condition,fairness.new.,fairness,guesstimate.new._1,feedback..new.,Q94,Q95,Q129,Q96,Q128,Q131,timeOutLog,chatLog
Player3-Democrat,4,2,4,8,NA,political bias,1,NA,2,just a guess,NA,OK -- no issues," *** Player3-Democrat has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br>Player2-Republican: Hello!
<br>Player1-Democrat: hello
<br>Player2-Republican: How's it going
<br>Player3-Democrat: hey
<br>Player4-Republican: there were so many dots lol
<br>Player1-Democrat: good, you?
<br>Player2-Republican: I guess I am a total underestimator lol. Good thanks!
<br>Player4-Republican: i overestimated
<br> *** Player3-Democrat has left the chat ***
<br> *** Player1-Democrat has left the chat ***
<br>"
Player3-Democrat,1,NA,NA,NA,NA,Seeing how people assign tasks between people and if they choose to be fair or not.,1,NA,4,NA,No other comments,OK -- no issues," *** Player3-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br>Player2-Republican: Hello
<br>Player3-Democrat: Hello all
<br>Player1-Democrat: afternoon
<br>Player4-Republican: hi
<br>Player3-Democrat: I found it hard to estimate the number of dots personally but I always overestimate everything so I'm not surprised
<br>Player2-Republican: I thought it was hard because of the limited amount of time
<br>Player1-Democrat: the lack of definable pattern on mine made it difficult
<br>Player1-Democrat: tiem was also an issue for me
<br> *** Player3-Democrat has left the chat ***
<br> *** Player2-Republican has left the chat ***
<br>Player4-Republican: i usually underestimate because i am horrible at counting things quickly
<br>"
Player2-Republican,1,NA,NA,NA,NA,I'm not sure,2,Researchers lie a lot,2,Because I was the one that was selected to do the assigning,No,OK -- no issues," *** Player3-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br>Player2-Republican: Hello
<br>Player3-Democrat: Hello all
<br>Player1-Democrat: afternoon
<br>Player4-Republican: hi
<br>Player3-Democrat: I found it hard to estimate the number of dots personally but I always overestimate everything so I'm not surprised
<br>Player2-Republican: I thought it was hard because of the limited amount of time
<br>Player1-Democrat: the lack of definable pattern on mine made it difficult
<br>Player1-Democrat: tiem was also an issue for me
<br> *** Player3-Democrat has left the chat ***
<br> *** Player2-Republican has left the chat ***
<br>Player4-Republican: i usually underestimate because i am horrible at counting things quickly
<br>"
Player1-Democrat,4,1,3,10,None,I do not know,1,NA,1,NA,No,OK -- no issues," *** Player1-Democrat has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player3-Democrat has joined the chat ***
<br>Player1-Democrat: Hello
<br>Player2-Republican: Hello everyone
<br>Player3-Democrat: Hi Everyone 
<br>Player4-Republican: Well I found out I'm an overestimator.
<br>Player2-Republican: I was labeled over esimater
<br>Player1-Democrat: Same I am as well
<br>Player3-Democrat: The task was simple and straight to the point, I felt it was hard to because of how quickly it flashed 
<br>Player2-Republican: I always hought of myself as an under estimater
<br>Player1-Democrat: I agree
<br>Player4-Republican: There was a lot to take in.
<br> *** Player1-Democrat has left the chat ***
<br> *** Player4-Republican has left the chat ***
<br>"
Player1-Democrat,3,1,4,7,no,I don't know,1,NA,1,NA,NA,OK -- no issues," *** Player3-Democrat has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br>Player2-Republican: Hello!
<br>Player1-Democrat: hello
<br>Player2-Republican: How's it going
<br>Player3-Democrat: hey
<br>Player4-Republican: there were so many dots lol
<br>Player1-Democrat: good, you?
<br>Player2-Republican: I guess I am a total underestimator lol. Good thanks!
<br>Player4-Republican: i overestimated
<br> *** Player3-Democrat has left the chat ***
<br> *** Player1-Democrat has left the chat ***
<br>"
Player3-Democrat,2,1,5,10,NA,I am not sure.,1,NA,1,NA,NA,OK -- no issues," *** Player3-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br>Player3-Democrat: Hi everyone 
<br>Player4-Republican: Hello! 
<br>Player1-Democrat: Hi
<br>Player2-Republican: It was tricky.
<br>Player2-Republican: Hello
<br>Player3-Democrat: Yea it was difficult
<br>Player2-Republican: There were large and small dots.
<br>Player1-Democrat: i guessed too low
<br>Player4-Republican: It was, I was an underestimater... 
<br>Player2-Republican: I guessed too high
<br> *** Player3-Democrat has left the chat ***
<br> *** Player2-Republican has left the chat ***
<br>"
Player2-Republican,2,2,4,10,No i think it sounds like a fair thing to do.,I think it was about different views as far is political party and if one would be treated unfairly based on their preference.,1,NA,1,NA,Fun survey,OK -- no issues," *** Player3-Democrat has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br>Player2-Republican: Hello!
<br>Player1-Democrat: hello
<br>Player2-Republican: How's it going
<br>Player3-Democrat: hey
<br>Player4-Republican: there were so many dots lol
<br>Player1-Democrat: good, you?
<br>Player2-Republican: I guess I am a total underestimator lol. Good thanks!
<br>Player4-Republican: i overestimated
<br> *** Player3-Democrat has left the chat ***
<br> *** Player1-Democrat has left the chat ***
<br> *** Player2-Republican has left the chat ***
<br>"
Player4-Republican,4,1,5,10,no,perceptions of Republicans vs Democrats,2,I did until I was told they were Democrats and Republicans.,1,NA,no,OK -- no issues," *** Player3-Democrat has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br>Player4-Republican: I would have liked to see the dots a bit longer.
<br>Player1-Democrat: I didn't think it was hard to estimate, but apparently I did. 
<br>Player2-Republican: The experience was frivolous.
<br>Player3-Democrat: Not sure how I feel about being an overestimator. It was a bit tricky trying to complete the task accurately.
<br>Player1-Democrat: I agree player 2
<br> *** Player3-Democrat has left the chat ***
<br> *** Player1-Democrat has left the chat ***
<br> *** Player4-Republican has left the chat ***
<br>"
Player1-Democrat,1,NA,NA,NA,NA,to see how people favor themselves when it comes to difficult and time consuming activities over others,2,the matching happened too quickly and there wasn't any delay where participants joined and quit,4,NA,NA,OK -- no issues," *** Player3-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br>Player2-Republican: Hello
<br>Player3-Democrat: Hello all
<br>Player1-Democrat: afternoon
<br>Player4-Republican: hi
<br>Player3-Democrat: I found it hard to estimate the number of dots personally but I always overestimate everything so I'm not surprised
<br>Player2-Republican: I thought it was hard because of the limited amount of time
<br>Player1-Democrat: the lack of definable pattern on mine made it difficult
<br>Player1-Democrat: tiem was also an issue for me
<br> *** Player3-Democrat has left the chat ***
<br> *** Player2-Republican has left the chat ***
<br>Player4-Republican: i usually underestimate because i am horrible at counting things quickly
<br> *** Player1-Democrat has left the chat ***
<br>"
Player4-Republican,3,3,2,10,I don't see how it is blind when they obviously picked the easier study to take.,I am not sure.,1,NA,1,NA,"Nothing else to add, thank you.",OK -- no issues," *** Player3-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br>Player2-Republican: Hello
<br>Player3-Democrat: Hello all
<br>Player1-Democrat: afternoon
<br>Player4-Republican: hi
<br>Player3-Democrat: I found it hard to estimate the number of dots personally but I always overestimate everything so I'm not surprised
<br>Player2-Republican: I thought it was hard because of the limited amount of time
<br>Player1-Democrat: the lack of definable pattern on mine made it difficult
<br>Player1-Democrat: tiem was also an issue for me
<br> *** Player3-Democrat has left the chat ***
<br> *** Player2-Republican has left the chat ***
<br>Player4-Republican: i usually underestimate because i am horrible at counting things quickly
<br> *** Player1-Democrat has left the chat ***
<br> *** Player4-Republican has left the chat ***
<br>"
