StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,prolific_id,Q145,match timer_First Click,match timer_Last Click,match timer_Page Submit,match timer_Click Count,Q29_First Click,Q29_Last Click,Q29_Page Submit,Q29_Click Count,Q28,get timer_First Click,get timer_Last Click,get timer_Page Submit,get timer_Click Count,Q186,under_ingroup1,under_ingroup2,under_ingroup3,over_outgroup1,over_outgroup2,over_outgroup3,group_check,over_ingroup1,over_ingroup2,over_ingroup3,under_outgroup1,under_outgroup2,under_outgroup3,Q60_First Click,Q60_Last Click,Q60_Page Submit,Q60_Click Count,Q83,Q87,Q90_1_x,Q90_1_y,Q90,Q91,attn_check,Q147_First Click,Q147_Last Click,Q147_Page Submit,Q147_Click Count,Q55_First Click,Q55_Last Click,Q55_Page Submit,Q55_Click Count,Q57_First Click,Q57_Last Click,Q57_Page Submit,Q57_Click Count,Q20,Q100_First Click,Q100_Last Click,Q100_Page Submit,Q100_Click Count,Q84,Q141,Q142,Q143_1,Q144,Q34_First Click,Q34_Last Click,Q34_Page Submit,Q34_Click Count,fairness(new),Q31,guesstimate(new)_1,feedback (new),Q75_First Click,Q75_Last Click,Q75_Page Submit,Q75_Click Count,Q76_First Click,Q76_Last Click,Q76_Page Submit,Q76_Click Count,Q77_First Click,Q77_Last Click,Q77_Page Submit,Q77_Click Count,Q78_First Click,Q78_Last Click,Q78_Page Submit,Q78_Click Count,Q94,Q95,Q129,Q96,Q128,desktop,desktop_4_TEXT,Q131,age,gender,gender_5_TEXT,ethnicity,pol_or,Q102,Q103,researcherID,studyID,Create New Field or Choose From Dropdown...,groupID,participantID,groupSize,numStages,roles,participantRole,timeOutLog,maxWaitTime,id,botMatch,matchAlert,participantStatus,sendData,sendStage,getStage,getData,saveData,getWaitText,freezeTime,chatLog,chatDuration,chatName,chatWindowWidth,chatWindowHeight,chatInstructions
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,consent,What is your Prolific ID?,"Please check here to signify that you understand that you should not refresh your browser, and that there will be periods of waiting in this survey.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Are you an Overestimator, or Underestimator? 



Approximately how many dots were in the previous image?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What group are you a member of?,I value being a member of the Underestimator group.,I am proud to be a member of the Underestimator group.,Being a member of the Underestimator group is an important part of my identity.,I value being a member of the Overestimator group.,I am proud to be a member of the Overestimator group.,Being a member of the Overestimator group is an important part of my identity.,What group are you a member of?,I value being a member of the Overestimator group.,I am proud to be a member of the Overestimator group.,Being a member of the Overestimator group is an important part of my identity.,I value being a member of the Underestimator group.,I am proud to be a member of the Underestimator group.,Being a member of the Underestimator group is an important part of my identity.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Mental Rotation Task 

 

Looking at the shape below, select the photo that depicts the same shape, rotated in space.","Logic Problem



Please read the following carefully, then select the answer you believe to be most correct. 

 

Laird: Pure research provides us with new technologies that contribute to saving lives. Even more worthwhile than this, however, is its role in expanding our knowledge and providing new, unexplored ideas.

Kim: Your priorities are mistaken. Saving lives is what counts most of all. Without pure research, medicine would not be as advanced as it is.

Laird and Kim disagree on whether pure research...","Spot the Difference 

 

Some things are different in the images below. Please click on the image where one of the differences is. - 1 - X","Spot the Difference 

 

Some things are different in the images below. Please click on the image where one of the differences is. - 1 - Y","Spot the Difference 

 

Some things are different in the images below. Please click on the image where one of the differences is. - Regions","Survey Question

 

Please answer the following question honestly. We are interested in how people score on a variety of personality measures. 

 

 

I am the life of the party.","There are lots of different types of questions that we may ask participants. Some types of questions look at personality, whereas others may test certain sets of skills. Others may test to ensure that participants read the entire question. Please select ""Somewhat Disagree"" from the selection below.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How would you like to assign tasks?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Which task would you like to assign to YOURSELF? 
(Remember, whichever task you do not choose will be assigned to another participant.)",Do you think the assignment procedure for tasks is blind (e.g. the researchers are not assigning tasks)?,How fairly did you act when assigning the tasks?,How likely do you think people are to assign themselves the green task? - Green Task,"Do you have any other feedback on the new ""experimenter-blind"" task assignment procedure?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Do you think the assignment procedure for tasks is blind (e.g. the researchers are not assigning tasks)?,How fairly did the other participant act when assigning the tasks?,How likely do you think people are to assign themselves the green task? - Green Task,"Do you have any other feedback on the new ""experimenter-blind"" task assignment procedure?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What did you think was the purpose of this experiment?,Did you believe that you were talking to real people in the chat phase?,Why Not?,Did you believe that you were watching a real person's task selection via screen recording?,Why Not?,How did you complete this survey? This will not affect your payment. - Selected Choice,How did you complete this survey? This will not affect your payment. - Other - Text,Is there anything else you'd like us to know?,What is your age?,How do you currently describe your gender identity? - Selected Choice,How do you currently describe your gender identity? - Something not listed here - Text,What categories describe you? Please select all that apply.,"Overall, on the following scale of political orientation [from Very Liberal to Very Conservative], where would you place yourself?",Q102,"I feel that I have been adequately debriefed about the nature of the study. The investigator has explained the purposes of the research to me, and I feel that any questions I have asked were satisfactorily answered.",researcherID,studyID,Create New Field or Choose From Dropdown...,groupID,participantID,groupSize,numStages,roles,participantRole,timeOutLog,maxWaitTime,id,botMatch,matchAlert,participantStatus,sendData,sendStage,getStage,getData,saveData,getWaitText,freezeTime,chatLog,chatDuration,chatName,chatWindowWidth,chatWindowHeight,chatInstructions
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID14""}","{""ImportId"":""QID154_TEXT""}","{""ImportId"":""QID153""}","{""ImportId"":""QID9_FIRST_CLICK""}","{""ImportId"":""QID9_LAST_CLICK""}","{""ImportId"":""QID9_PAGE_SUBMIT""}","{""ImportId"":""QID9_CLICK_COUNT""}","{""ImportId"":""QID37_FIRST_CLICK""}","{""ImportId"":""QID37_LAST_CLICK""}","{""ImportId"":""QID37_PAGE_SUBMIT""}","{""ImportId"":""QID37_CLICK_COUNT""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID120_FIRST_CLICK""}","{""ImportId"":""QID120_LAST_CLICK""}","{""ImportId"":""QID120_PAGE_SUBMIT""}","{""ImportId"":""QID120_CLICK_COUNT""}","{""ImportId"":""QID186""}","{""ImportId"":""QID194""}","{""ImportId"":""QID195""}","{""ImportId"":""QID196""}","{""ImportId"":""QID190""}","{""ImportId"":""QID191""}","{""ImportId"":""QID192""}","{""ImportId"":""QID175""}","{""ImportId"":""QID179""}","{""ImportId"":""QID180""}","{""ImportId"":""QID181""}","{""ImportId"":""QID185""}","{""ImportId"":""QID184""}","{""ImportId"":""QID183""}","{""ImportId"":""QID68_FIRST_CLICK""}","{""ImportId"":""QID68_LAST_CLICK""}","{""ImportId"":""QID68_PAGE_SUBMIT""}","{""ImportId"":""QID68_CLICK_COUNT""}","{""ImportId"":""QID91""}","{""ImportId"":""QID95""}","{""ImportId"":""QID98"",""point"":1,""coord"":""x""}","{""ImportId"":""QID98"",""point"":1,""coord"":""y""}","{""ImportId"":""QID98_REGIONS""}","{""ImportId"":""QID99""}","{""ImportId"":""QID145""}","{""ImportId"":""QID155_FIRST_CLICK""}","{""ImportId"":""QID155_LAST_CLICK""}","{""ImportId"":""QID155_PAGE_SUBMIT""}","{""ImportId"":""QID155_CLICK_COUNT""}","{""ImportId"":""QID63_FIRST_CLICK""}","{""ImportId"":""QID63_LAST_CLICK""}","{""ImportId"":""QID63_PAGE_SUBMIT""}","{""ImportId"":""QID63_CLICK_COUNT""}","{""ImportId"":""QID65_FIRST_CLICK""}","{""ImportId"":""QID65_LAST_CLICK""}","{""ImportId"":""QID65_PAGE_SUBMIT""}","{""ImportId"":""QID65_CLICK_COUNT""}","{""ImportId"":""QID32""}","{""ImportId"":""QID108_FIRST_CLICK""}","{""ImportId"":""QID108_LAST_CLICK""}","{""ImportId"":""QID108_PAGE_SUBMIT""}","{""ImportId"":""QID108_CLICK_COUNT""}","{""ImportId"":""QID92""}","{""ImportId"":""QID141""}","{""ImportId"":""QID142""}","{""ImportId"":""QID143_1""}","{""ImportId"":""QID144_TEXT""}","{""ImportId"":""QID42_FIRST_CLICK""}","{""ImportId"":""QID42_LAST_CLICK""}","{""ImportId"":""QID42_PAGE_SUBMIT""}","{""ImportId"":""QID42_CLICK_COUNT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID28""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID27_TEXT""}","{""ImportId"":""QID83_FIRST_CLICK""}","{""ImportId"":""QID83_LAST_CLICK""}","{""ImportId"":""QID83_PAGE_SUBMIT""}","{""ImportId"":""QID83_CLICK_COUNT""}","{""ImportId"":""QID84_FIRST_CLICK""}","{""ImportId"":""QID84_LAST_CLICK""}","{""ImportId"":""QID84_PAGE_SUBMIT""}","{""ImportId"":""QID84_CLICK_COUNT""}","{""ImportId"":""QID85_FIRST_CLICK""}","{""ImportId"":""QID85_LAST_CLICK""}","{""ImportId"":""QID85_PAGE_SUBMIT""}","{""ImportId"":""QID85_CLICK_COUNT""}","{""ImportId"":""QID86_FIRST_CLICK""}","{""ImportId"":""QID86_LAST_CLICK""}","{""ImportId"":""QID86_PAGE_SUBMIT""}","{""ImportId"":""QID86_CLICK_COUNT""}","{""ImportId"":""QID102_TEXT""}","{""ImportId"":""QID103""}","{""ImportId"":""QID137_TEXT""}","{""ImportId"":""QID104""}","{""ImportId"":""QID136_TEXT""}","{""ImportId"":""QID161""}","{""ImportId"":""QID161_4_TEXT""}","{""ImportId"":""QID139_TEXT""}","{""ImportId"":""QID150""}","{""ImportId"":""QID151""}","{""ImportId"":""QID151_5_TEXT""}","{""ImportId"":""QID152""}","{""ImportId"":""QID149""}","{""ImportId"":""QID110""}","{""ImportId"":""QID111""}","{""ImportId"":""researcherID""}","{""ImportId"":""studyID""}","{""ImportId"":""Create New Field or Choose From Dropdown...""}","{""ImportId"":""groupID""}","{""ImportId"":""participantID""}","{""ImportId"":""groupSize""}","{""ImportId"":""numStages""}","{""ImportId"":""roles""}","{""ImportId"":""participantRole""}","{""ImportId"":""timeOutLog""}","{""ImportId"":""maxWaitTime""}","{""ImportId"":""id""}","{""ImportId"":""botMatch""}","{""ImportId"":""matchAlert""}","{""ImportId"":""participantStatus""}","{""ImportId"":""sendData""}","{""ImportId"":""sendStage""}","{""ImportId"":""getStage""}","{""ImportId"":""getData""}","{""ImportId"":""saveData""}","{""ImportId"":""getWaitText""}","{""ImportId"":""freezeTime""}","{""ImportId"":""chatLog""}","{""ImportId"":""chatDuration""}","{""ImportId"":""chatName""}","{""ImportId"":""chatWindowWidth""}","{""ImportId"":""chatWindowHeight""}","{""ImportId"":""chatInstructions""}"
11/27/23 16:48,11/27/23 17:01,IP Address,216.165.95.167,100,817,TRUE,11/27/23 17:01,R_2YwWM5CWh2Xm2TQ,,,,,40.7279,-73.9966,anonymous,EN,I consent to the study.,sssss,"Yes, I understand.",0,0,22.758,0,0,0,3.106,0,50,0,0,13.637,0,Underestimators,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,,,,,,,,0,0,47.9,0,IM_3KUo7iTc8Zjnk46,has its most valuable achievements in medical applications.,714,335,Region #2,Slightly Agree,"Agree
6
",0,0,11.467,0,0,0,21.683,0,0,0,25.006,0,I will choose,16.599,16.599,22.258,1,The Green Task,No,Unfairly,8,no,,,,,,,,,,,,,,,,,,,,,,,,,selfishness,No,not possible,No,Not possible,On a desktop or laptop computer,,4 incognitio windoes is really a lot,25,Woman,,Asian,Liberal,I DO give my consent for you to use my data.,I agree with this statement,6392NwKkvp,MoHi_Study1,,1,R_2YwWM5CWh2Xm2TQ,4,1,"Player1-Overestimator,Player2-Underestimator,Player3-Overestimator,Player4-Underestimator",Player4-Underestimator,OK -- no issues,300,,no,yes,ready,participantStatus,1,1,"Player1-Overestimator,Player2-Underestimator,Player3-Overestimator,Player4-Underestimator","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1," *** Player4-Underestimator has joined the chat ***
<br> *** Player1-Overestimator has joined the chat ***
<br> *** Player3-Overestimator has joined the chat ***
<br> *** Player2-Underestimator has joined the chat ***
<br>Player3-Overestimator: hi
<br>Player1-Overestimator: hows eceryone
<br>Player4-Underestimator: it was hard bc i didnt know we were meant to count
<br>Player2-Underestimator: nahi have 2020n vision
<br>Player3-Overestimator: yeah idk i done temember
<br>Player1-Overestimator: typpo tpotp typo
<br> *** Player3-Overestimator has left the chat ***
<br> *** Player4-Underestimator has left the chat ***
<br> *** Player1-Overestimator has left the chat ***
<br>",,chatLog,,,
11/27/23 16:48,11/27/23 17:02,IP Address,216.165.95.167,100,861,TRUE,11/27/23 17:02,R_2YG3FzrgRyLsKXF,,,,,40.7279,-73.9966,anonymous,EN,I consent to the study.,ffff,"Yes, I understand.",0,0,46.585,0,0,0,3.109,0,30,0,0,46.238,0,,,,,,,,Overestimators,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,0,0,38.971,0,IM_3KUo7iTc8Zjnk46,has its most valuable achievements in medical applications.,575,355,Region #2,Slightly Agree,"Somewhat 
Disagree
3
",0,0,45.587,0,0,0,11.716,0,0,0,25.009,0,,,,,,,,,,,0,0,15.006,0,Maybe,Unfairly,7,,,,,,,,,,,,,,,,,,lying,Yes,,No,too fast,On a mobile phone,,no,,,,,,I DO give my consent for you to use my data.,I agree with this statement,6392NwKkvp,MoHi_Study1,,1,R_2YG3FzrgRyLsKXF,4,1,"Player1-Overestimator,Player2-Underestimator,Player3-Overestimator,Player4-Underestimator",Player3-Overestimator,OK -- no issues,300,,no,yes,ready,participantStatus,1,1,"Player1-Overestimator,Player2-Underestimator,Player3-Overestimator,Player4-Underestimator","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1," *** Player4-Underestimator has joined the chat ***
<br> *** Player1-Overestimator has joined the chat ***
<br> *** Player3-Overestimator has joined the chat ***
<br> *** Player2-Underestimator has joined the chat ***
<br>Player3-Overestimator: hi
<br>Player1-Overestimator: hows eceryone
<br>Player4-Underestimator: it was hard bc i didnt know we were meant to count
<br>Player2-Underestimator: nahi have 2020n vision
<br>Player3-Overestimator: yeah idk i done temember
<br>Player1-Overestimator: typpo tpotp typo
<br> *** Player3-Overestimator has left the chat ***
<br> *** Player4-Underestimator has left the chat ***
<br> *** Player1-Overestimator has left the chat ***
<br>",,chatLog,,,
11/27/23 16:48,11/27/23 17:02,IP Address,216.165.95.167,100,886,TRUE,11/27/23 17:02,R_1OlZwuROrzOhiw2,,,,,40.7279,-73.9966,anonymous,EN,I consent to the study.,aaaaa,"Yes, I understand.",0,0,10.506,0,0,0,3.007,0,4,0,0,0.398,0,Underestimators,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,,,,,,,,0,0,47.75,0,IM_3KUo7iTc8Zjnk46,has its most valuable achievements in medical applications.,858,244,Region #2,Agree,"Somewhat 
Disagree
3
",0,0,10.987,0,0,0,22.437,0,0,0,25.007,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,15.007,0,,,,,,,,,,,,,,,,,,I DO NOT give my consent for you to use my data; destroy it instead.,I disagree with this statement,6392NwKkvp,MoHi_Study1,,1,R_1OlZwuROrzOhiw2,4,1,"Player1-Overestimator,Player2-Underestimator,Player3-Overestimator,Player4-Underestimator",Player2-Underestimator,OK -- no issues,300,,no,yes,ready,participantStatus,1,1,"Player1-Overestimator,Player2-Underestimator,Player3-Overestimator,Player4-Underestimator","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1," *** Player4-Underestimator has joined the chat ***
<br> *** Player1-Overestimator has joined the chat ***
<br> *** Player3-Overestimator has joined the chat ***
<br> *** Player2-Underestimator has joined the chat ***
<br>Player3-Overestimator: hi
<br>Player1-Overestimator: hows eceryone
<br>Player4-Underestimator: it was hard bc i didnt know we were meant to count
<br>Player2-Underestimator: nahi have 2020n vision
<br>Player3-Overestimator: yeah idk i done temember
<br>Player1-Overestimator: typpo tpotp typo
<br> *** Player3-Overestimator has left the chat ***
<br> *** Player4-Underestimator has left the chat ***
<br> *** Player1-Overestimator has left the chat ***
<br>",,chatLog,,,
11/27/23 16:48,11/27/23 17:02,IP Address,216.165.95.167,100,889,TRUE,11/27/23 17:02,R_XYaRGZ0NZCJNlkd,,,,,40.7279,-73.9966,anonymous,EN,I consent to the study.,dddd,"Yes, I understand.",0,0,34.04,0,0,0,3.006,0,40,0,0,31.902,0,,,,,,,,Overestimators,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,0,0,25.435,0,IM_3KUo7iTc8Zjnk46,has its most valuable achievements in medical applications.,71,67,Region #1,Disagree,"Disagree
2
",0,0,45.535,0,0,0,11.655,0,0,0,25.107,0,,,,,,,,,,,,,,,No,Neither Fairly or Unfairly,6,,0,0,15.007,0,,,,,,,,,,,,,idk,Yes,,Yes,,On a tablet,,no,,,,,,,,6392NwKkvp,MoHi_Study1,,1,R_XYaRGZ0NZCJNlkd,4,1,"Player1-Overestimator,Player2-Underestimator,Player3-Overestimator,Player4-Underestimator",Player1-Overestimator,OK -- no issues,300,,no,yes,ready,participantStatus,1,1,"Player1-Overestimator,Player2-Underestimator,Player3-Overestimator,Player4-Underestimator","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1," *** Player4-Underestimator has joined the chat ***
<br> *** Player1-Overestimator has joined the chat ***
<br> *** Player3-Overestimator has joined the chat ***
<br> *** Player2-Underestimator has joined the chat ***
<br>Player3-Overestimator: hi
<br>Player1-Overestimator: hows eceryone
<br>Player4-Underestimator: it was hard bc i didnt know we were meant to count
<br>Player2-Underestimator: nahi have 2020n vision
<br>Player3-Overestimator: yeah idk i done temember
<br>Player1-Overestimator: typpo tpotp typo
<br> *** Player3-Overestimator has left the chat ***
<br> *** Player4-Underestimator has left the chat ***
<br> *** Player1-Overestimator has left the chat ***
<br>",,chatLog,,,
11/29/23 16:00,11/29/23 16:00,IP Address,172.56.53.95,100,28,TRUE,11/29/23 16:00,R_2SAMz6si5mNXSDN,,,,,29.7953,-95.4968,anonymous,EN,I do not consent to the study.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6392NwKkvp,MoHi_Study1,,,R_2SAMz6si5mNXSDN,4,1,"Player1-Overestimator,Player2-Underestimator,Player3-Overestimator,Player4-Underestimator",random,,300,,no,yes,,,,,,,,,,,,,,
11/29/23 15:59,11/29/23 16:07,IP Address,73.233.23.196,100,469,TRUE,11/29/23 16:07,R_RDZve8nxYnxavjb,,,,,39.9486,-75.2339,anonymous,EN,I consent to the study.,5fc6df58f380620a09116434,"Yes, I understand.",0,0,6.893,0,0,0,3.112,0,35,0,0,47.356,0,Underestimators,Somewhat disagree,Somewhat disagree,Strongly disagree,Disagree,Neither agree nor disagree,Strongly disagree,,,,,,,,0,0,21.326,0,IM_3KUo7iTc8Zjnk46,has any value apart from its role in providing new technologies to save lives.,773,298,Region #2,Slightly Agree,"Somewhat 
Disagree
3
",0,0,7.584,0,0,0,16.845,0,0,0,25.009,0,,,,,,,,,,,,,,,Yes,Somewhat Unfairly,9,Nothing to add.,0,0,15.007,0,,,,,,,,,,,,,I don't know.,Yes,,Yes,,On a desktop or laptop computer,,Nothing to add.,23,Woman,,White,Moderate,I DO give my consent for you to use my data.,I agree with this statement,6392NwKkvp,MoHi_Study1,,2,R_RDZve8nxYnxavjb,4,1,"Player1-Overestimator,Player2-Underestimator,Player3-Overestimator,Player4-Underestimator",Player4-Underestimator,OK -- no issues,300,,no,yes,ready,participantStatus,1,1,"Player1-Overestimator,Player2-Underestimator,Player3-Overestimator,Player4-Underestimator","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1," *** Player4-Underestimator has joined the chat ***
<br> *** Player3-Overestimator has joined the chat ***
<br> *** Player1-Overestimator has joined the chat ***
<br> *** Player2-Underestimator has joined the chat ***
<br>Player3-Overestimator: Hey
<br>Player2-Underestimator: I guess I underestimate numbers
<br>Player4-Underestimator: Hello! What did you guys guess? I guessed 35 and was told im an underestimator.
<br>Player1-Overestimator: I wasn't sure how quickly the image would time out, so I estimated rather quickly. 75
<br>Player3-Overestimator: I guessed 200 
<br>Player2-Underestimator: I guessed 250
<br>",,chatLog,,,
11/29/23 16:00,11/29/23 16:07,IP Address,74.134.57.50,100,433,TRUE,11/29/23 16:07,R_CfclV7yROfmuDOV,,,,,37.1504,-84.5228,anonymous,EN,I consent to the study.,5e2b3e22a8f85318c2429121,"Yes, I understand.",0,0,10.569,0,0,0,3.007,0,120,45.72,45.72,52.487,1,,,,,,,,Overestimators,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,0,0,34.36,0,IM_3KUo7iTc8Zjnk46,has its most valuable achievements in medical applications.,261,371,Region #1,Slightly Disagree,"Somewhat 
Disagree
3
",0,0,7.3,0,1.055,1.055,11.625,1,0,0,25.01,0,,,,,,,,,,,,,,,Yes,Fairly,7,none,,,,,,,,,0,0,15.113,0,,,,,not sure,Yes,,Yes,,On a desktop or laptop computer,,no,28,Woman,,White,Very Liberal,I DO give my consent for you to use my data.,I agree with this statement,6392NwKkvp,MoHi_Study1,,9,R_CfclV7yROfmuDOV,4,1,"Player1-Overestimator,Player2-Underestimator,Player3-Overestimator,Player4-Underestimator",Player3-Overestimator,OK -- no issues,300,,no,yes,ready,participantStatus,1,1,"Player1-Overestimator,Player2-Underestimator,Player3-Overestimator,Player4-Underestimator","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1," *** Player3-Overestimator has joined the chat ***
<br> *** Player1-Overestimator has joined the chat ***
<br> *** Player4-Underestimator has joined the chat ***
<br> *** Player2-Underestimator has joined the chat ***
<br>Player2-Underestimator: I thought it was like 115
<br>Player2-Underestimator: oops
<br>Player4-Underestimator: I guessed 112
<br>Player1-Overestimator: I guessed 120
<br>Player3-Overestimator: i guessed 120
<br>Player3-Overestimator: and it was over had to close since 112 is under
<br>Player4-Underestimator: We must have all been pretty close then 
<br>Player1-Overestimator: true
<br> *** Player3-Overestimator has left the chat ***
<br>",,chatLog,,,
11/29/23 15:59,11/29/23 16:08,IP Address,136.32.210.127,100,496,TRUE,11/29/23 16:08,R_2ZVPcaiQD5oXTvC,,,,,39.0831,-94.5853,anonymous,EN,I consent to the study.,5ed2bb7a67d51b24b2ac4037,"Yes, I understand.",0,0,10.507,0,0,0,3.011,0,250,0,0,35.763,0,Underestimators,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Disagree,Disagree,Disagree,,,,,,,,0,0,27.141,0,IM_3KUo7iTc8Zjnk46,has its most valuable achievements in medical applications.,554,315,Region #2,Slightly Disagree,"Somewhat 
Disagree
3
",0,0,8.701,0,0,0,14.501,0,0,0,25.11,0,,,,,,,,,,,,,,,Maybe,Fairly,10,It seems like I lost out but it was all explained beforehand.,,,,,,,,,,,,,0,0,15.108,0,To examine how people reacted to getting a certain type of task.,Yes,,Yes,,On a desktop or laptop computer,,This was a fun survey.,34,Man,,White,Conservative,I DO give my consent for you to use my data.,I agree with this statement,6392NwKkvp,MoHi_Study1,,3,R_2ZVPcaiQD5oXTvC,4,1,"Player1-Overestimator,Player2-Underestimator,Player3-Overestimator,Player4-Underestimator",Player4-Underestimator,OK -- no issues,300,,no,yes,ready,participantStatus,1,1,"Player1-Overestimator,Player2-Underestimator,Player3-Overestimator,Player4-Underestimator","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1," *** Player3-Overestimator has joined the chat ***
<br> *** Player2-Underestimator has joined the chat ***
<br> *** Player4-Underestimator has joined the chat ***
<br> *** Player1-Overestimator has joined the chat ***
<br>Player1-Overestimator: Hello
<br>Player2-Underestimator: hello to all
<br>Player4-Underestimator: Hey there gang.
<br>Player3-Overestimator: It was hard to estimate the number of dots! How did you do it?
<br>Player4-Underestimator: So was it hard counting all of those dots?
<br>Player2-Underestimator: happy to be an underestimator, taking a wild guess is fun
<br>Player4-Underestimator: I just guessed
<br>Player1-Overestimator: It was difficult to estimate the number of dots, because they were different sizes.
<br> *** Player3-Overestimator has left the chat ***
<br> *** Player2-Underestimator has left the chat ***
<br> *** Player4-Underestimator has left the chat ***
<br> *** Player1-Overestimator has left the chat ***
<br>",,chatLog,,,
