StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,participation,Prolific ID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Would you like to participate in ""Cognitive Tasks -- PART 2"" at 4pm EST today?",What is your Prolific ID?
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3_TEXT""}"
2023-11-29 10:31:01,2023-11-29 10:31:26,IP Address,204.134.151.42,100,24,True,2023-11-29 10:31:26,R_2EG09Pcb6ZlSJi2,,,,,32.7254,-97.3208,anonymous,EN,Yes,64ebe5cc50efa0f67ea486ab
2023-11-29 10:31:39,2023-11-29 10:32:14,IP Address,75.91.103.63,100,34,True,2023-11-29 10:32:14,R_2ckLnOB4SLc7GNX,,,,,29.8097,-82.4675,anonymous,EN,Yes,65198ba1126ba439e0d8f29f
2023-11-29 10:31:43,2023-11-29 10:32:37,IP Address,71.28.70.74,100,54,True,2023-11-29 10:32:37,R_1P7WalqStSflFwE,,,,,35.1594,-82.2117,anonymous,EN,Yes,58e558cc728bea0001bbda24
2023-11-29 10:37:38,2023-11-29 10:40:30,IP Address,98.62.34.67,100,171,True,2023-11-29 10:40:30,R_1f2Y6kbCrPYA7Sb,,,,,33.7838,-84.4455,anonymous,EN,Yes,5bed01c8306ec30001fb80e2
2023-11-29 10:42:47,2023-11-29 10:43:13,IP Address,71.28.104.250,100,25,True,2023-11-29 10:43:13,R_1jVYyMag80vro3X,,,,,31.1823,-83.7641,anonymous,EN,Yes,611a9df7b77fd3ec1a5bd984
2023-11-29 10:50:05,2023-11-29 10:50:19,IP Address,72.92.224.158,100,13,True,2023-11-29 10:50:19,R_10OfaiQJKQaW1T9,,,,,41.7689,-71.4758,anonymous,EN,Yes,611465b0cdf9e7bb34a05898
2023-11-29 10:50:02,2023-11-29 10:50:39,IP Address,207.44.32.7,100,37,True,2023-11-29 10:50:40,R_2rTJESH0YAWCTsj,,,,,40.7962,-76.4226,anonymous,EN,Yes,55ddb84550a1f7000b90d65a
2023-11-29 10:51:16,2023-11-29 10:51:30,IP Address,66.24.187.137,100,14,True,2023-11-29 10:51:31,R_bNRGrWHKZJYFFUR,,,,,42.0733,-76.7988,anonymous,EN,Yes,63d00f33d7efb157962e105b
2023-11-29 10:53:40,2023-11-29 10:55:09,IP Address,169.239.205.169,100,89,True,2023-11-29 10:55:10,R_3Czps5R8Aj3uQQV,,,,,37.751,-97.822,anonymous,EN,Yes,6487bae360567daae2848c4d
2023-11-29 10:57:11,2023-11-29 10:57:39,IP Address,108.53.209.115,100,28,True,2023-11-29 10:57:40,R_2qf4EP4p1F1twLu,,,,,40.8462,-74.7056,anonymous,EN,Yes,5b50881a59119400018abaf3
2023-11-29 11:00:05,2023-11-29 11:00:11,IP Address,74.137.227.249,100,6,True,2023-11-29 11:00:12,R_3343lB8kN1VDu4y,,,,,40.5912,-83.1258,anonymous,EN,Yes,593f819f0ab1bd00019fd63d
2023-11-29 10:59:49,2023-11-29 11:00:21,IP Address,146.57.11.146,100,31,True,2023-11-29 11:00:22,R_z2c220U44fUFRGF,,,,,45.5957,-95.915,anonymous,EN,No,5ea974ce007217052a763022
2023-11-29 10:50:30,2023-11-29 11:05:07,IP Address,172.56.97.96,100,876,True,2023-11-29 11:05:07,R_3oAfdrskgzeHST2,,,,,28.0508,-82.4484,anonymous,EN,Yes,6553e12c3b83480e8318225b
2023-11-29 11:04:49,2023-11-29 11:05:19,IP Address,76.36.191.7,100,29,True,2023-11-29 11:05:20,R_3Kwkq1H7WmQPRjH,,,,,36.1168,-80.0837,anonymous,EN,Yes,61356a75a26f82d5cf223390
2023-11-29 11:02:28,2023-11-29 11:05:21,IP Address,45.36.111.239,100,173,True,2023-11-29 11:05:21,R_1NaBLIl2k8PfOg5,,,,,36.0358,-79.5075,anonymous,EN,No,
