StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,Prolific_id,Q145,match timer_First Click,match timer_Last Click,match timer_Page Submit,match timer_Click Count,Q29_First Click,Q29_Last Click,Q29_Page Submit,Q29_Click Count,Q28,get timer_First Click,get timer_Last Click,get timer_Page Submit,get timer_Click Count,Q60_First Click,Q60_Last Click,Q60_Page Submit,Q60_Click Count,Q83,Q87,Q90_1_x,Q90_1_y,Q90,Q91,attn_check,Q147_First Click,Q147_Last Click,Q147_Page Submit,Q147_Click Count,Q55_First Click,Q55_Last Click,Q55_Page Submit,Q55_Click Count,Q57_First Click,Q57_Last Click,Q57_Page Submit,Q57_Click Count,Q20,Q100_First Click,Q100_Last Click,Q100_Page Submit,Q100_Click Count,Q84,Q141,Q142,Q143_1,Q144,Q34_First Click,Q34_Last Click,Q34_Page Submit,Q34_Click Count,fairness(new),Q31,guesstimate(new)_1,feedback (new),Q167_First Click,Q167_Last Click,Q167_Page Submit,Q167_Click Count,Q76_First Click,Q76_Last Click,Q76_Page Submit,Q76_Click Count,Q172_First Click,Q172_Last Click,Q172_Page Submit,Q172_Click Count,Q177_First Click,Q177_Last Click,Q177_Page Submit,Q177_Click Count,Q94,Q95,Q129,Q96,Q128,desktop,desktop_4_TEXT,Q131,age,gender,gender_5_TEXT,ethnicity,pol_or,Q102,Q103,researcherID,studyID,Create New Field or Choose From Dropdown...,groupID,participantID,groupSize,numStages,roles,participantRole,timeOutLog,maxWaitTime,id,aid,botMatch,matchAlert,participantStatus,sendData,sendStage,getStage,getData,saveData,getWaitText,freezeTime,chatLog,chatDuration,chatName,chatWindowWidth,chatWindowHeight,chatInstructions
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,consent,What is your prolific ID?,Please check here to signify that you understand that that there will be periods of waiting in this survey.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Are you an Overestimator, or Underestimator? 



Approximately how many dots were in the previous image?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Mental Rotation Task 

 

Looking at the shape below, select the photo that depicts the same shape, rotated in space.","Logic Problem



Please read the following carefully, then select the answer you believe to be most correct. 

 

Laird: Pure research provides us with new technologies that contribute to saving lives. Even more worthwhile than this, however, is its role in expanding our knowledge and providing new, unexplored ideas.

Kim: Your priorities are mistaken. Saving lives is what counts most of all. Without pure research, medicine would not be as advanced as it is.

Laird and Kim disagree on whether pure research...","Spot the Difference 

 

Some things are different in the images below. Please click on the image where one of the differences is. - 1 - X","Spot the Difference 

 

Some things are different in the images below. Please click on the image where one of the differences is. - 1 - Y","Spot the Difference 

 

Some things are different in the images below. Please click on the image where one of the differences is. - Regions","Survey Question

 

Please answer the following question honestly. We are interested in how people score on a variety of personality measures. 

 

 

I am the life of the party.","There are lots of different types of questions that we may ask participants. Some types of questions look at personality, whereas others may test certain sets of skills. Others may test to ensure that participants read the entire question. Please select ""Somewhat Disagree"" from the selection below.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How would you like to assign tasks?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Which task would you like to assign to YOURSELF? 
(Remember, whichever task you do not choose will be assigned to another participant.)",Do you think the assignment procedure for tasks is blind (e.g. the researchers are not assigning tasks)?,How fairly did you act when assigning the tasks?,How likely do you think people are to assign themselves the green task? - 1,"Do you have any other feedback on the new ""experimenter-blind"" task assignment procedure?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Do you think the assignment procedure for tasks is blind (e.g. the researchers are not assigning tasks)?,How fairly did the other participant act when assigning the tasks?,How likely do you think people are to assign themselves the green task? - 1,"Do you have any other feedback on the new ""experimenter-blind"" task assignment procedure?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What did you think was the purpose of this experiment?,Did you believe that you were talking to real people in the chat phase?,Why Not?,Did you believe that the other participants were actually assigning tasks?,Why Not?,How did you complete this survey? This will not affect your payment. - Selected Choice,How did you complete this survey? This will not affect your payment. - Other - Text,Is there anything else you'd like us to know?,What is your age?,How do you currently describe your gender identity? - Selected Choice,How do you currently describe your gender identity? - Something not listed here - Text,What categories describe you? Please select all that apply.,"Overall, on the following scale of political orientation [from Very Liberal to Very Conservative], where would you place yourself?",Q102,"I feel that I have been adequately debriefed about the nature of the study. The investigator has explained the purposes of the research to me, and I feel that any questions I have asked were satisfactorily answered.",researcherID,studyID,Create New Field or Choose From Dropdown...,groupID,participantID,groupSize,numStages,roles,participantRole,timeOutLog,maxWaitTime,id,aid,botMatch,matchAlert,participantStatus,sendData,sendStage,getStage,getData,saveData,getWaitText,freezeTime,chatLog,chatDuration,chatName,chatWindowWidth,chatWindowHeight,chatInstructions
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID14""}","{""ImportId"":""QID182_TEXT""}","{""ImportId"":""QID153""}","{""ImportId"":""QID9_FIRST_CLICK""}","{""ImportId"":""QID9_LAST_CLICK""}","{""ImportId"":""QID9_PAGE_SUBMIT""}","{""ImportId"":""QID9_CLICK_COUNT""}","{""ImportId"":""QID37_FIRST_CLICK""}","{""ImportId"":""QID37_LAST_CLICK""}","{""ImportId"":""QID37_PAGE_SUBMIT""}","{""ImportId"":""QID37_CLICK_COUNT""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID120_FIRST_CLICK""}","{""ImportId"":""QID120_LAST_CLICK""}","{""ImportId"":""QID120_PAGE_SUBMIT""}","{""ImportId"":""QID120_CLICK_COUNT""}","{""ImportId"":""QID68_FIRST_CLICK""}","{""ImportId"":""QID68_LAST_CLICK""}","{""ImportId"":""QID68_PAGE_SUBMIT""}","{""ImportId"":""QID68_CLICK_COUNT""}","{""ImportId"":""QID91""}","{""ImportId"":""QID95""}","{""ImportId"":""QID98"",""point"":1,""coord"":""x""}","{""ImportId"":""QID98"",""point"":1,""coord"":""y""}","{""ImportId"":""QID98_REGIONS""}","{""ImportId"":""QID99""}","{""ImportId"":""QID145""}","{""ImportId"":""QID155_FIRST_CLICK""}","{""ImportId"":""QID155_LAST_CLICK""}","{""ImportId"":""QID155_PAGE_SUBMIT""}","{""ImportId"":""QID155_CLICK_COUNT""}","{""ImportId"":""QID63_FIRST_CLICK""}","{""ImportId"":""QID63_LAST_CLICK""}","{""ImportId"":""QID63_PAGE_SUBMIT""}","{""ImportId"":""QID63_CLICK_COUNT""}","{""ImportId"":""QID65_FIRST_CLICK""}","{""ImportId"":""QID65_LAST_CLICK""}","{""ImportId"":""QID65_PAGE_SUBMIT""}","{""ImportId"":""QID65_CLICK_COUNT""}","{""ImportId"":""QID32""}","{""ImportId"":""QID108_FIRST_CLICK""}","{""ImportId"":""QID108_LAST_CLICK""}","{""ImportId"":""QID108_PAGE_SUBMIT""}","{""ImportId"":""QID108_CLICK_COUNT""}","{""ImportId"":""QID92""}","{""ImportId"":""QID141""}","{""ImportId"":""QID142""}","{""ImportId"":""QID143_1""}","{""ImportId"":""QID144_TEXT""}","{""ImportId"":""QID42_FIRST_CLICK""}","{""ImportId"":""QID42_LAST_CLICK""}","{""ImportId"":""QID42_PAGE_SUBMIT""}","{""ImportId"":""QID42_CLICK_COUNT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID28""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID27_TEXT""}","{""ImportId"":""QID167_FIRST_CLICK""}","{""ImportId"":""QID167_LAST_CLICK""}","{""ImportId"":""QID167_PAGE_SUBMIT""}","{""ImportId"":""QID167_CLICK_COUNT""}","{""ImportId"":""QID84_FIRST_CLICK""}","{""ImportId"":""QID84_LAST_CLICK""}","{""ImportId"":""QID84_PAGE_SUBMIT""}","{""ImportId"":""QID84_CLICK_COUNT""}","{""ImportId"":""QID172_FIRST_CLICK""}","{""ImportId"":""QID172_LAST_CLICK""}","{""ImportId"":""QID172_PAGE_SUBMIT""}","{""ImportId"":""QID172_CLICK_COUNT""}","{""ImportId"":""QID177_FIRST_CLICK""}","{""ImportId"":""QID177_LAST_CLICK""}","{""ImportId"":""QID177_PAGE_SUBMIT""}","{""ImportId"":""QID177_CLICK_COUNT""}","{""ImportId"":""QID102_TEXT""}","{""ImportId"":""QID103""}","{""ImportId"":""QID137_TEXT""}","{""ImportId"":""QID104""}","{""ImportId"":""QID136_TEXT""}","{""ImportId"":""QID161""}","{""ImportId"":""QID161_4_TEXT""}","{""ImportId"":""QID139_TEXT""}","{""ImportId"":""QID150""}","{""ImportId"":""QID151""}","{""ImportId"":""QID151_5_TEXT""}","{""ImportId"":""QID152""}","{""ImportId"":""QID149""}","{""ImportId"":""QID110""}","{""ImportId"":""QID111""}","{""ImportId"":""researcherID""}","{""ImportId"":""studyID""}","{""ImportId"":""Create New Field or Choose From Dropdown...""}","{""ImportId"":""groupID""}","{""ImportId"":""participantID""}","{""ImportId"":""groupSize""}","{""ImportId"":""numStages""}","{""ImportId"":""roles""}","{""ImportId"":""participantRole""}","{""ImportId"":""timeOutLog""}","{""ImportId"":""maxWaitTime""}","{""ImportId"":""id""}","{""ImportId"":""aid""}","{""ImportId"":""botMatch""}","{""ImportId"":""matchAlert""}","{""ImportId"":""participantStatus""}","{""ImportId"":""sendData""}","{""ImportId"":""sendStage""}","{""ImportId"":""getStage""}","{""ImportId"":""getData""}","{""ImportId"":""saveData""}","{""ImportId"":""getWaitText""}","{""ImportId"":""freezeTime""}","{""ImportId"":""chatLog""}","{""ImportId"":""chatDuration""}","{""ImportId"":""chatName""}","{""ImportId"":""chatWindowWidth""}","{""ImportId"":""chatWindowHeight""}","{""ImportId"":""chatInstructions""}"
2023-07-31 15:59:12,2023-07-31 16:07:33,0,24.91.197.32,100,501,1,2023-07-31 16:07:34,R_ReG1dDqypfvhjyN,,,,,42.0227,-71.018,anonymous,EN,1,,1,57.931,57.931,58.158,1,0,0,3.005,0,46,0,0,37.103,0,0,0,26.826,0,1,4,591,212,Region #2,15,3,0,0,7.245,0,0,0,11.013,0,0,0,25.106,0,,,,,,,,,,,,,,,3,4,8,,,,,,,,,,0,0,45.107,0,,,,,I have no idea.,1,,2,"Because 99% of the time, in studies/tasks like this, when the ""other"" is making a decision, its predetermined. ",1,,,29,1,,7,1,1,1,6392NwKkvp,Study2_MoHiPilot2,,1,R_ReG1dDqypfvhjyN,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player3-Democrat,OK -- no issues,300,,,no,yes,ready,participantStatus,1,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1," *** Player3-Democrat has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br>Player2-Republican: Pure guess
<br>Player1-Democrat: So were y'all understimators or over?
<br>Player3-Democrat: So that over/under category is just BS, right?
<br>Player4-Republican: I think it was too fast to really make a good guess
<br>Player2-Republican: Over!
<br>Player1-Democrat: mine was a guess too, I tended to underestimate so I overcompensated
<br>Player4-Republican: Probably so, felt like a shot in the dark
<br>Player1-Democrat: what did y'all guess
<br>Player3-Democrat: I'm an underestimator, allegedly. Good news for my wife I suppose.
<br>Player4-Republican: I guessed 70
<br>Player3-Democrat: I guessed 46, I had no idea.
<br>Player2-Republican: Lol
<br>Player1-Democrat: I guessed 52
<br>Player4-Republican: haha
<br>Player1-Democrat: it's hard
<br> *** Player3-Democrat has left the chat ***
<br> *** Player1-Democrat has left the chat ***
<br> *** Player4-Republican has left the chat ***
<br>",,chatLog,,,
2023-07-31 15:59:56,2023-07-31 16:07:53,0,74.74.131.154,100,477,1,2023-07-31 16:07:54,R_D1Zd3fX1bKxAVtD,,,,,43.0747,-77.5181,anonymous,EN,1,,1,0,0,19.803,0,0,0,3.108,0,64,0,0,0.431,0,2.086,16.801,21.471,3,1,4,861,224,Region #2,14,3,0,0,7.762,0,5.566,12.715,17.769,3,0,0,25.117,0,1,1.637,3.024,19.96,2,1,2,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,see if we will  take the easier task,1,,4,,1,,,32,2,,7,3,1,1,6392NwKkvp,Study2_MoHiPilot2,,2,R_D1Zd3fX1bKxAVtD,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player2-Republican,OK -- no issues,300,,,no,yes,ready,participantStatus,1,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1," *** Player4-Republican has joined the chat ***
<br> *** Player3-Democrat has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br>Player2-Republican: Hi. 
<br>Player3-Democrat: hello
<br>Player1-Democrat: hi
<br>Player2-Republican: I found it hard to estimate since the dots are different sizes
<br>Player1-Democrat: agree
<br>Player4-Republican: Hi all.  If we had been able to see the dots a bit longer, my estimate would have been better.
<br>Player2-Republican: Agree!
<br>Player3-Democrat: Yes and it was a very short period of time
<br>Player3-Democrat: For sure!
<br>Player1-Democrat: yes
<br> *** Player4-Republican has left the chat ***
<br> *** Player3-Democrat has left the chat ***
<br> *** Player1-Democrat has left the chat ***
<br> *** Player2-Republican has left the chat ***
<br>",,chatLog,,,
2023-07-31 16:00:01,2023-07-31 16:07:58,0,67.198.112.131,100,477,1,2023-07-31 16:07:58,R_2thQC1QXSys8o4j,,,,,31.0924,-97.3603,anonymous,EN,1,,1,0,0,8.798,0,0,0,3.111,0,48,0,0,40.626,0,0,0,21.339,0,2,5,692,94,Region #2,17,3,0,0,6.974,0,0,0,15.932,0,0,0,25.115,0,,,,,,,,,,,,,,,1,6,10,no,,,,,,,,,,,,,0,0,45.007,0,Not sure,1,,1,,1,,,44,2,,7,2,1,1,6392NwKkvp,Study2_MoHiPilot2,,2,R_2thQC1QXSys8o4j,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player3-Democrat,OK -- no issues,300,,,no,yes,ready,participantStatus,1,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1," *** Player4-Republican has joined the chat ***
<br> *** Player3-Democrat has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br>Player2-Republican: Hi. 
<br>Player3-Democrat: hello
<br>Player1-Democrat: hi
<br>Player2-Republican: I found it hard to estimate since the dots are different sizes
<br>Player1-Democrat: agree
<br>Player4-Republican: Hi all.  If we had been able to see the dots a bit longer, my estimate would have been better.
<br>Player2-Republican: Agree!
<br>Player3-Democrat: Yes and it was a very short period of time
<br>Player3-Democrat: For sure!
<br>Player1-Democrat: yes
<br> *** Player4-Republican has left the chat ***
<br> *** Player3-Democrat has left the chat ***
<br> *** Player1-Democrat has left the chat ***
<br>",,chatLog,,,
2023-07-31 15:59:55,2023-07-31 16:07:58,0,136.226.56.167,100,483,1,2023-07-31 16:07:59,R_3oYmLRWxaHOMezZ,,,,,45.5288,-122.6821,anonymous,EN,1,,1,0,0,23.032,0,0,0,3.114,0,50,0,0,30.633,0,0.632,11.045,21.244,14,1,4,599,212,Region #2,15,3,1.309,5.163,6.899,7,5.407,8.853,11.045,6,0,0,25.007,0,1,0.823,10.795,15.998,13,1,2,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,Not sure,2,"They seemed like canned answers, pre-typed info for the survey.",4,,1,,,28,1,,7,2,1,1,6392NwKkvp,Study2_MoHiPilot2,,2,R_3oYmLRWxaHOMezZ,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player1-Democrat,OK -- no issues,300,,,no,yes,ready,participantStatus,1,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1," *** Player4-Republican has joined the chat ***
<br> *** Player3-Democrat has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br>Player2-Republican: Hi. 
<br>Player3-Democrat: hello
<br>Player1-Democrat: hi
<br>Player2-Republican: I found it hard to estimate since the dots are different sizes
<br>Player1-Democrat: agree
<br>Player4-Republican: Hi all.  If we had been able to see the dots a bit longer, my estimate would have been better.
<br>Player2-Republican: Agree!
<br>Player3-Democrat: Yes and it was a very short period of time
<br>Player3-Democrat: For sure!
<br>Player1-Democrat: yes
<br> *** Player4-Republican has left the chat ***
<br> *** Player3-Democrat has left the chat ***
<br> *** Player1-Democrat has left the chat ***
<br>",,chatLog,,,
2023-07-31 15:59:21,2023-07-31 16:09:04,0,73.42.55.47,100,582,1,2023-07-31 16:09:04,R_25zJFIIBifIcGOc,,,,,30.1909,-85.6696,anonymous,EN,1,,1,0,0,70.106,0,0,0,3.013,0,145,0,0,0.412,0,0,0,22.82,0,1,2,225,81,Region #1,14,3,0,0,9.749,0,0,0,14.056,0,0,0,25.11,0,,,,,,,,,,,0,0,15.11,0,2,3,8,None.,,,,,,,,,,,,,,,,,"There were so many variables that I am not sure. ",1,,1,,1,,No,51,1,,7,5,1,1,6392NwKkvp,Study2_MoHiPilot2,,1,R_25zJFIIBifIcGOc,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player2-Republican,OK -- no issues,300,,,no,yes,ready,participantStatus,1,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1," *** Player3-Democrat has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br>Player2-Republican: Pure guess
<br>Player1-Democrat: So were y'all understimators or over?
<br>Player3-Democrat: So that over/under category is just BS, right?
<br>Player4-Republican: I think it was too fast to really make a good guess
<br>Player2-Republican: Over!
<br>Player1-Democrat: mine was a guess too, I tended to underestimate so I overcompensated
<br>Player4-Republican: Probably so, felt like a shot in the dark
<br>Player1-Democrat: what did y'all guess
<br>Player3-Democrat: I'm an underestimator, allegedly. Good news for my wife I suppose.
<br>Player4-Republican: I guessed 70
<br>Player3-Democrat: I guessed 46, I had no idea.
<br>Player2-Republican: Lol
<br>Player1-Democrat: I guessed 52
<br>Player4-Republican: haha
<br>Player1-Democrat: it's hard
<br> *** Player3-Democrat has left the chat ***
<br> *** Player1-Democrat has left the chat ***
<br> *** Player4-Republican has left the chat ***
<br> *** Player2-Republican has left the chat ***
<br>",,chatLog,,,
2023-07-31 15:59:37,2023-07-31 16:09:07,0,99.96.118.119,100,569,1,2023-07-31 16:09:07,R_126a8PovRryTB4B,,,,,33.9521,-84.5475,anonymous,EN,1,,1,0,0,10.582,0,0,0,3.009,0,40,0,0,30.376,0,16.654,21.795,23.222,2,5,3,249,257,Region #1,14,3,0,0,7.261,0,5.394,33.265,34.64,3,0,0,25.006,0,2,2.026,19.102,20.173,7,,2,7,8,no,,,,,,,,,,,,,,,,,,,,,,,,,not sure,1,,1,,1,,no,52,2,,7,5,1,1,6392NwKkvp,Study2_MoHiPilot2,,2,R_126a8PovRryTB4B,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player4-Republican,OK -- no issues,300,,,no,yes,ready,participantStatus,1,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1," *** Player4-Republican has joined the chat ***
<br> *** Player3-Democrat has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br>Player2-Republican: Hi. 
<br>Player3-Democrat: hello
<br>Player1-Democrat: hi
<br>Player2-Republican: I found it hard to estimate since the dots are different sizes
<br>Player1-Democrat: agree
<br>Player4-Republican: Hi all.  If we had been able to see the dots a bit longer, my estimate would have been better.
<br>Player2-Republican: Agree!
<br>Player3-Democrat: Yes and it was a very short period of time
<br>Player3-Democrat: For sure!
<br>Player1-Democrat: yes
<br> *** Player4-Republican has left the chat ***
<br> *** Player3-Democrat has left the chat ***
<br> *** Player1-Democrat has left the chat ***
<br>",,chatLog,,,
2023-07-31 16:08:48,2023-07-31 16:09:51,0,76.143.76.250,100,63,1,2023-07-31 16:09:52,R_3rOPWyjkcAbFKBt,,,,,29.7646,-95.3657,anonymous,EN,1,,1,1.079,1.079,53.206,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6392NwKkvp,Study2_MoHiPilot2,,11,R_3rOPWyjkcAbFKBt,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player3-Democrat,No available participant -- Survey terminated,300,,,no,yes,,,,,,,,,,,,,,
2023-07-31 16:03:11,2023-07-31 16:09:56,0,174.104.40.18,100,404,1,2023-07-31 16:09:56,R_123whzRPkbgFHGk,,,,,42.1124,-80.0885,anonymous,EN,1,,1,0,0,335.532,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6392NwKkvp,Study2_MoHiPilot2,,11,R_123whzRPkbgFHGk,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player2-Republican,No available participant -- Survey terminated,300,,,no,yes,,,,,,,,,,,,,,
