"","participantRole","condition","condition.f","fairness","cond1_selection","redgreen_selection","attn_check","manip_check1","manip_check2","pol_or","CI_difference"
"1","Player2-Underestimator",4,"outgroup",5,NA,NA,3,1,1,5,0
"2","Player3-Overestimator",2,"other",4,NA,NA,3,1,1,5,0.666666666666667
"3","Player1-Overestimator",2,"other",4,NA,NA,3,1,1,3,-1.33333333333333
"4","Player2-Underestimator",4,"outgroup",6,NA,NA,3,2,2,2,0.666666666666667
"5","Player4-Underestimator",3,"ingroup",6,NA,NA,3,2,2,4,0.333333333333333
"6","Player4-Underestimator",2,"other",2,NA,NA,3,1,1,1,0.666666666666667
"7","Player4-Underestimator",2,"other",4,NA,NA,3,2,2,2,0
"8","Player3-Overestimator",1,"self",6,2,NA,3,1,2,3,0.666666666666667
"9","Player1-Overestimator",4,"outgroup",4,NA,NA,3,1,1,2,0
"10","Player1-Overestimator",4,"outgroup",4,NA,NA,3,1,1,2,0
"11","Player1-Overestimator",3,"ingroup",4,NA,NA,3,1,2,4,2
"12","Player2-Underestimator",2,"other",1,NA,NA,3,1,2,1,1
"13","Player1-Overestimator",3,"ingroup",4,NA,NA,3,2,2,2,0.666666666666667
"14","Player1-Overestimator",2,"other",3,NA,NA,3,1,1,2,4
"15","Player2-Underestimator",1,"self",4,1,1,3,2,2,1,0
"16","Player4-Underestimator",4,"outgroup",3,NA,NA,3,1,1,4,0
"17","Player1-Overestimator",1,"self",3,1,1,3,2,2,1,0
"18","Player2-Underestimator",1,"self",4,1,1,3,1,2,4,0
"19","Player3-Overestimator",2,"other",4,NA,NA,3,1,2,5,0.333333333333333
"20","Player3-Overestimator",4,"outgroup",2,NA,NA,3,1,1,3,2
"21","Player3-Overestimator",3,"ingroup",4,NA,NA,3,2,2,4,0.333333333333333
"22","Player4-Underestimator",3,"ingroup",6,NA,NA,3,1,1,6,1.66666666666667
"23","Player3-Overestimator",2,"other",7,NA,NA,3,1,1,6,1
"24","Player3-Overestimator",3,"ingroup",3,NA,NA,3,1,1,2,-1
"25","Player1-Overestimator",4,"outgroup",3,NA,NA,3,1,1,2,2.33333333333333
"26","Player2-Underestimator",3,"ingroup",4,NA,NA,3,1,2,3,0
"27","Player2-Underestimator",4,"outgroup",4,NA,NA,3,2,2,2,0
"28","Player4-Underestimator",4,"outgroup",4,NA,NA,1,1,1,7,NA
"29","Player2-Underestimator",1,"self",7,2,NA,3,1,1,1,-0.666666666666667
"30","Player4-Underestimator",4,"outgroup",5,NA,NA,3,2,2,4,0
"31","Player4-Underestimator",1,"self",2,1,1,3,1,1,4,0
"32","Player2-Underestimator",1,"self",7,1,1,3,1,1,4,3
"33","Player4-Underestimator",3,"ingroup",4,NA,NA,3,1,1,3,1.33333333333333
"34","Player1-Overestimator",1,"self",4,1,1,3,2,1,3,0
"35","Player2-Underestimator",1,"self",7,2,NA,3,1,2,1,0.333333333333333
"36","Player3-Overestimator",3,"ingroup",6,NA,NA,3,2,2,4,5
"37","Player1-Overestimator",3,"ingroup",4,NA,NA,3,1,1,3,2
"38","Player3-Overestimator",4,"outgroup",1,NA,NA,3,1,1,2,4.66666666666667
"39","Player2-Underestimator",2,"other",4,NA,NA,3,1,1,5,0.333333333333333
"40","Player1-Overestimator",2,"other",4,NA,NA,3,2,2,3,0
"41","Player4-Underestimator",2,"other",4,NA,NA,3,1,1,3,-1
"42","Player4-Underestimator",1,"self",6,2,NA,3,1,1,2,0
"43","Player1-Overestimator",4,"outgroup",6,NA,NA,3,1,1,6,0.666666666666667
"44","Player4-Underestimator",1,"self",1,1,1,3,1,1,1,1.33333333333333
"45","Player4-Underestimator",3,"ingroup",4,NA,NA,3,1,1,4,1.66666666666667
"46","Player3-Overestimator",3,"ingroup",6,NA,NA,3,1,NA,5,1.33333333333333
"47","Player2-Underestimator",2,"other",6,NA,NA,3,1,1,4,2
"48","Player4-Underestimator",2,"other",4,NA,NA,3,2,2,4,0
"49","Player4-Underestimator",4,"outgroup",4,NA,NA,3,2,1,4,-0.333333333333333
"50","Player3-Overestimator",3,"ingroup",3,NA,NA,3,2,2,2,0
"51","Player2-Underestimator",2,"other",6,NA,NA,3,1,1,3,-2
"52","Player3-Overestimator",3,"ingroup",6,NA,NA,3,2,2,4,0
"53","Player1-Overestimator",3,"ingroup",4,NA,NA,3,1,1,6,0
"54","Player2-Underestimator",4,"outgroup",4,NA,NA,3,1,2,4,0.333333333333333
"55","Player4-Underestimator",1,"self",1,1,1,3,1,2,6,1
"56","Player3-Overestimator",3,"ingroup",6,NA,NA,3,1,1,1,0
