"","participantRole","condition","condition.f","fairness","cond1_selection","redgreen_selection","attn_check","manip_check1","manip_check2","pol_or","CI_difference"
"1","Player4-Underestimator",1,"self",2,1,1,6,2,2,2,-0.333333333333333
"2","Player3-Overestimator",2,"other",2,NA,NA,3,1,2,NA,0
"3","Player4-Underestimator",4,"outgroup",3,NA,NA,3,1,1,4,0
"4","Player3-Overestimator",3,"ingroup",6,NA,NA,3,1,1,1,0
"5","Player4-Underestimator",3,"ingroup",6,NA,NA,3,1,1,6,1.66666666666667
"6","Player4-Underestimator",2,"other",2,NA,NA,3,1,1,1,0.666666666666667
"7","Player3-Overestimator",1,"self",4,1,1,3,1,1,6,2.66666666666667
"8","Player2-Underestimator",2,"other",1,NA,NA,3,1,2,1,1
"9","Player3-Overestimator",1,"self",6,2,NA,3,1,2,3,0.666666666666667
"10","Player2-Underestimator",2,"other",4,NA,NA,3,1,1,1,0
"11","Player1-Overestimator",4,"outgroup",4,NA,NA,3,1,1,2,0
"12","Player4-Underestimator",1,"self",5,1,1,3,1,1,3,-1.33333333333333
"13","Player2-Underestimator",2,"other",6,NA,NA,3,1,1,3,-2
"14","Player3-Overestimator",2,"other",4,NA,NA,3,1,1,5,0.666666666666667
"15","Player4-Underestimator",4,"outgroup",4,NA,NA,3,2,1,4,-0.333333333333333
"16","Player2-Underestimator",4,"outgroup",4,NA,NA,3,1,2,4,0.333333333333333
"17","Player3-Overestimator",3,"ingroup",2,NA,NA,3,2,2,2,0
"18","Player3-Overestimator",3,"ingroup",4,NA,NA,3,1,1,1,1
"19","Player1-Overestimator",1,"self",3,1,1,3,2,2,1,0
"20","Player1-Overestimator",3,"ingroup",4,NA,NA,3,1,1,3,1.66666666666667
"21","Player1-Overestimator",3,"ingroup",4,NA,NA,3,2,2,4,0
"22","Player2-Underestimator",2,"other",6,NA,NA,3,1,1,4,4.66666666666667
"23","Player1-Overestimator",4,"outgroup",4,NA,NA,3,1,1,2,0
"24","Player3-Overestimator",3,"ingroup",3,NA,NA,3,1,1,2,-1
"25","Player1-Overestimator",4,"outgroup",3,NA,NA,3,1,1,2,2.33333333333333
"26","Player4-Underestimator",1,"self",2,1,1,3,1,1,4,0
"27","Player4-Underestimator",4,"outgroup",2,NA,NA,3,1,1,7,0
"28","Player4-Underestimator",1,"self",6,2,NA,3,1,1,2,0
"29","Player3-Overestimator",4,"outgroup",4,NA,NA,3,1,1,4,-1
"30","Player3-Overestimator",4,"outgroup",2,NA,NA,3,1,1,4,2
"31","Player2-Underestimator",1,"self",5,1,1,3,1,1,4,0.666666666666667
"32","Player3-Overestimator",4,"outgroup",2,NA,NA,3,1,1,3,2
"33","Player3-Overestimator",1,"self",7,2,NA,3,1,1,1,3.66666666666667
"34","Player4-Underestimator",2,"other",4,NA,NA,3,2,2,2,0
"35","Player4-Underestimator",3,"ingroup",3,NA,NA,3,1,1,7,3.33333333333333
"36","Player2-Underestimator",2,"other",3,NA,NA,3,2,2,4,0
"37","Player2-Underestimator",3,"ingroup",4,NA,NA,3,1,2,3,0
"38","Player4-Underestimator",3,"ingroup",6,NA,NA,3,2,2,4,0.333333333333333
"39","Player4-Underestimator",2,"other",4,NA,NA,3,1,1,3,-1
"40","Player3-Overestimator",2,"other",4,NA,NA,3,1,2,5,0.333333333333333
"41","Player1-Overestimator",4,"outgroup",3,NA,NA,3,1,2,3,0.666666666666667
"42","Player4-Underestimator",3,"ingroup",4,NA,NA,3,1,1,4,1.66666666666667
"43","Player1-Overestimator",2,"other",4,NA,NA,3,2,2,3,0
"44","Player2-Underestimator",4,"outgroup",5,NA,NA,3,1,1,5,0
"45","Player4-Underestimator",4,"outgroup",5,NA,NA,3,2,2,4,0
"46","Player2-Underestimator",2,"other",2,NA,NA,3,1,1,3,0.666666666666667
"47","Player1-Overestimator",1,"self",4,1,1,3,2,1,3,0
"48","Player4-Underestimator",1,"self",1,1,1,3,1,2,6,1
"49","Player1-Overestimator",1,"self",6,2,NA,3,1,1,3,0
"50","Player2-Underestimator",4,"outgroup",4,NA,NA,3,2,2,2,0
"51","Player1-Overestimator",2,"other",3,NA,NA,3,1,2,2,-0.666666666666667
"52","Player2-Underestimator",1,"self",7,2,NA,3,1,1,1,-0.666666666666667
"53","Player1-Overestimator",1,"self",3,1,1,3,2,1,3,2
"54","Player3-Overestimator",3,"ingroup",4,NA,NA,3,2,2,4,0.333333333333333
"55","Player3-Overestimator",4,"outgroup",1,NA,NA,3,1,2,4,1.33333333333333
"56","Player2-Underestimator",1,"self",6,1,1,3,1,1,2,0
"57","Player2-Underestimator",1,"self",7,1,1,3,1,1,4,3
"58","Player3-Overestimator",1,"self",7,2,NA,3,1,1,4,2
"59","Player4-Underestimator",4,"outgroup",5,NA,NA,3,1,2,5,-0.333333333333333
"60","Player1-Overestimator",3,"ingroup",4,NA,NA,3,1,2,4,2
"61","Player2-Underestimator",3,"ingroup",2,NA,NA,3,1,1,2,0
"62","Player1-Overestimator",2,"other",4,NA,NA,3,2,2,3,4.33333333333333
"63","Player4-Underestimator",3,"ingroup",4,NA,NA,3,1,1,3,1.33333333333333
"64","Player4-Underestimator",2,"other",4,NA,NA,3,2,2,4,0
"65","Player1-Overestimator",4,"outgroup",3,NA,NA,3,2,2,5,0
"66","Player1-Overestimator",4,"outgroup",6,NA,NA,3,2,2,2,0.333333333333333
"67","Player4-Underestimator",2,"other",4,NA,NA,3,1,2,4,0
"68","Player4-Underestimator",2,"other",4,NA,NA,3,1,1,1,0
"69","Player1-Overestimator",3,"ingroup",4,NA,NA,3,1,1,3,2
"70","Player3-Overestimator",4,"outgroup",4,NA,NA,3,2,2,2,1.33333333333333
"71","Player3-Overestimator",1,"self",7,1,1,3,1,1,4,0
"72","Player2-Underestimator",1,"self",6,2,NA,3,2,2,3,0.333333333333333
"73","Player2-Underestimator",2,"other",6,NA,NA,3,1,1,4,2
"74","Player1-Overestimator",2,"other",3,NA,NA,3,1,1,2,4
"75","Player2-Underestimator",2,"other",4,NA,NA,3,1,1,5,0.333333333333333
"76","Player3-Overestimator",3,"ingroup",4,NA,NA,3,1,1,4,0.333333333333333
"77","Player2-Underestimator",2,"other",4,NA,NA,3,1,1,4,0
"78","Player4-Underestimator",3,"ingroup",6,NA,NA,3,1,1,6,1
"79","Player4-Underestimator",1,"self",7,2,NA,3,1,2,2,0
"80","Player3-Overestimator",4,"outgroup",4,NA,NA,3,1,2,3,0.666666666666667
"81","Player1-Overestimator",2,"other",4,NA,NA,3,1,1,3,-1.33333333333333
"82","Player4-Underestimator",1,"self",4,1,1,3,1,1,4,0
"83","Player1-Overestimator",3,"ingroup",5,NA,NA,3,1,1,4,-1
"84","Player1-Overestimator",4,"outgroup",6,NA,NA,3,1,1,2,-0.333333333333333
"85","Player4-Underestimator",4,"outgroup",1,NA,NA,3,2,2,1,-0.333333333333333
"86","Player4-Underestimator",3,"ingroup",3,NA,NA,3,1,1,4,2.66666666666667
"87","Player2-Underestimator",1,"self",4,1,1,3,1,2,4,0
"88","Player4-Underestimator",2,"other",4,NA,NA,3,1,1,4,1.33333333333333
"89","Player1-Overestimator",3,"ingroup",4,NA,NA,3,1,1,6,0
"90","Player3-Overestimator",3,"ingroup",3,NA,NA,3,1,1,2,0.666666666666667
"91","Player1-Overestimator",2,"other",4,NA,NA,3,2,2,4,1.33333333333333
"92","Player2-Underestimator",1,"self",7,2,NA,3,1,2,1,0.333333333333333
"93","Player1-Overestimator",2,"other",1,NA,NA,3,2,2,2,0
"94","Player1-Overestimator",4,"outgroup",6,NA,NA,3,1,1,6,0.666666666666667
"95","Player3-Overestimator",2,"other",3,NA,NA,3,1,1,5,1.66666666666667
"96","Player3-Overestimator",3,"ingroup",3,NA,NA,3,2,2,2,0
"97","Player3-Overestimator",3,"ingroup",6,NA,NA,3,2,2,4,5
"98","Player3-Overestimator",1,"self",6,1,1,3,1,1,5,-0.333333333333333
"99","Player1-Overestimator",3,"ingroup",5,NA,NA,3,1,2,4,1
"100","Player3-Overestimator",3,"ingroup",6,NA,NA,3,2,2,4,0
"101","Player2-Underestimator",1,"self",4,1,1,3,2,2,3,0
"102","Player3-Overestimator",2,"other",7,NA,NA,3,1,1,6,1
"103","Player4-Underestimator",3,"ingroup",2,NA,NA,3,1,1,4,0
"104","Player2-Underestimator",4,"outgroup",2,NA,NA,3,2,1,5,0
"105","Player2-Underestimator",4,"outgroup",6,NA,NA,3,2,2,2,0.666666666666667
"106","Player4-Underestimator",4,"outgroup",7,NA,NA,3,1,1,7,3.66666666666667
"107","Player1-Overestimator",2,"other",5,NA,NA,3,1,1,6,0
"108","Player4-Underestimator",1,"self",4,1,1,3,2,2,2,-1
"109","Player2-Underestimator",1,"self",2,1,1,3,1,1,3,1
"110","Player1-Overestimator",3,"ingroup",5,NA,NA,3,2,2,6,0.666666666666667
"111","Player2-Underestimator",4,"outgroup",3,NA,NA,3,1,2,2,0
"112","Player2-Underestimator",3,"ingroup",5,NA,NA,3,1,1,1,-0.666666666666667
"113","Player2-Underestimator",4,"outgroup",2,NA,NA,3,1,1,4,0
"114","Player1-Overestimator",3,"ingroup",6,NA,NA,3,1,1,2,4
"115","Player4-Underestimator",4,"outgroup",6,NA,NA,3,1,1,7,-0.333333333333333
"116","Player1-Overestimator",1,"self",7,2,NA,3,1,1,2,6
"117","Player4-Underestimator",4,"outgroup",2,NA,NA,3,1,1,3,-2
"118","Player1-Overestimator",2,"other",5,NA,NA,3,1,1,3,0
"119","Player2-Underestimator",2,"other",6,NA,NA,3,1,1,3,0
"120","Player3-Overestimator",2,"other",5,NA,NA,3,1,1,2,0
"121","Player3-Overestimator",3,"ingroup",5,NA,NA,3,2,2,4,3
"122","Player2-Underestimator",3,"ingroup",4,NA,NA,3,2,2,5,3
"123","Player1-Overestimator",3,"ingroup",2,NA,NA,3,1,1,3,0
"124","Player2-Underestimator",3,"ingroup",3,NA,NA,3,2,2,3,1.33333333333333
"125","Player4-Underestimator",1,"self",7,1,2,3,1,1,3,0.666666666666667
"126","Player4-Underestimator",4,"outgroup",2,NA,NA,3,2,2,4,1
"127","Player1-Overestimator",4,"outgroup",4,NA,NA,3,2,1,4,6
"128","Player1-Overestimator",2,"other",5,NA,NA,3,1,1,1,-0.333333333333333
"129","Player2-Underestimator",2,"other",4,NA,NA,3,1,1,4,0
