StartDate,EndDate,Status,IPAddress,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,prolific_id,Q145,match.timer_First.Click,match.timer_Last.Click,match.timer_Page.Submit,match.timer_Click.Count,Q29_First.Click,Q29_Last.Click,Q29_Page.Submit,Q29_Click.Count,Q28,get.timer_First.Click,get.timer_Last.Click,get.timer_Page.Submit,get.timer_Click.Count,dem_ingroup1,dem_ingroup2,dem_ingroup3,rep_outgroup1,rep_outgroup2,rep_outgroup3,rep_ingroup1,rep_ingroup2,rep_ingroup3,dem_outgroup1,dem_outgroup2,dem_outgroup3,Q60_First.Click,Q60_Last.Click,Q60_Page.Submit,Q60_Click.Count,Q83,Q87,Q90_1_x,Q90_1_y,Q90,Q91,attn_check,Q147_First.Click,Q147_Last.Click,Q147_Page.Submit,Q147_Click.Count,Q55_First.Click,Q55_Last.Click,Q55_Page.Submit,Q55_Click.Count,Q57_First.Click,Q57_Last.Click,Q57_Page.Submit,Q57_Click.Count,cond1_selection,Q100_First.Click,Q100_Last.Click,Q100_Page.Submit,Q100_Click.Count,Q84,Q141,Q142,Q143_1,Q144,cond2_timing_First.Click,cond2_timing_Last.Click,cond2_timing_Page.Submit,cond2_timing_Click.Count,fairness.new.,fairness,guesstimate.new._1,feedback..new.,dem3_timing_First.Click,dem3_timing_Last.Click,dem3_timing_Page.Submit,dem3_timing_Click.Count,rep4_timing_First.Click,rep4_timing_Last.Click,rep4_timing_Page.Submit,rep4_timing_Click.Count,dem1_timing_First.Click,dem1_timing_Last.Click,dem1_timing_Page.Submit,dem1_timing_Click.Count,rep2_timing_First.Click,rep2_timing_Last.Click,rep2_timing_Page.Submit,rep2_timing_Click.Count,Q94,Q95,Q129,Q96,Q128,desktop,desktop_4_TEXT,Q131,age,gender,gender_5_TEXT,ethnicity,pol_or,Q102,Q103,researcherID,studyID,Create.New.Field.or.Choose.From.Dropdown...,groupID,participantID,groupSize,numStages,roles,participantRole,timeOutLog,maxWaitTime,id,aid,botMatch,matchAlert,participantStatus,sendData,sendStage,getStage,getData,saveData,getWaitText,freezeTime,chatLog,chatDuration,chatName,chatWindowWidth,chatWindowHeight,chatInstructions,condition,condition.f,CI_difference_dems,CI_difference_reps,full_fairness
2023-09-12T15:59:13Z,2023-09-12T16:06:40Z,0,70.120.229.35,100,447,1,2023-09-12T16:06:41Z,R_3exI30dbeYVNDJF,NA,NA,NA,NA,31.7775,-106.4903,anonymous,EN,1,5cfec17adc24bc00016efa53,1,17.141,17.141,30.243,1,0,0,3.022,0,80,0,0,13.407,0,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,0,0,22.048,0,4,4,597,211,Region #2,14,3,0,0,8.113,0,0,0,11.53,0,0,0,25.117,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,45.012,0,political bias,1,NA,2,just a guess,1,NA,NA,29,1,NA,7,2,1,1,6392NwKkvp,MoHi_Study2,NA,3,R_3exI30dbeYVNDJF,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player3-Democrat,OK -- no issues,300,NA,NA,no,yes,ready,participantStatus,1,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1," *** Player3-Democrat has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br>Player2-Republican: Hello!
<br>Player1-Democrat: hello
<br>Player2-Republican: How's it going
<br>Player3-Democrat: hey
<br>Player4-Republican: there were so many dots lol
<br>Player1-Democrat: good, you?
<br>Player2-Republican: I guess I am a total underestimator lol. Good thanks!
<br>Player4-Republican: i overestimated
<br> *** Player3-Democrat has left the chat ***
<br> *** Player1-Democrat has left the chat ***
<br>",NA,chatLog,NA,NA,NA,4,outgroup,0,NA,4
2023-09-12T15:59:07Z,2023-09-12T16:06:44Z,0,66.41.93.126,100,456,1,2023-09-12T16:06:45Z,R_3QLwAsaKhFgxMxz,NA,NA,NA,NA,45.0702,-93.4556,anonymous,EN,1,570b7b5fb9b52b00102d96f9,1,0,0,27.967,0,0,0,3.028,0,64,0,0,36.441,0,4,4,3,2,1,1,NA,NA,NA,NA,NA,NA,0,0,21.234,0,1,4,172,74,Region #1,14,3,0,0,28.152,0,0,0,11.034,0,23.988,23.988,25.024,1,1,4.19,4.19,17.099,1,1,1,3,9,No other feedback,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Seeing how people assign tasks between people and if they choose to be fair or not.,1,NA,4,NA,1,NA,No other comments,28,2,NA,7,1,1,1,6392NwKkvp,MoHi_Study2,NA,2,R_3QLwAsaKhFgxMxz,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player3-Democrat,OK -- no issues,300,NA,NA,no,yes,ready,participantStatus,1,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1," *** Player3-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br>Player2-Republican: Hello
<br>Player3-Democrat: Hello all
<br>Player1-Democrat: afternoon
<br>Player4-Republican: hi
<br>Player3-Democrat: I found it hard to estimate the number of dots personally but I always overestimate everything so I'm not surprised
<br>Player2-Republican: I thought it was hard because of the limited amount of time
<br>Player1-Democrat: the lack of definable pattern on mine made it difficult
<br>Player1-Democrat: tiem was also an issue for me
<br> *** Player3-Democrat has left the chat ***
<br> *** Player2-Republican has left the chat ***
<br>Player4-Republican: i usually underestimate because i am horrible at counting things quickly
<br>",NA,chatLog,NA,NA,NA,1,self,2.3333333333333335,NA,3
2023-09-12T15:59:07Z,2023-09-12T16:07:43Z,0,75.137.188.174,100,515,1,2023-09-12T16:07:44Z,R_2QKbCIre1EFUQOT,NA,NA,NA,NA,33.3708,-84.8154,anonymous,EN,1,5d57f9cdedef630016280505,1,0,0,6.895,0,0,0,3.021,0,90,25.596,25.596,25.953,1,NA,NA,NA,NA,NA,NA,5,5,4,1,1,1,0,0,22.561,0,1,1,138,213,Region #1,16,3,0,0,8.518,0,0,0,18.595,0,0,0,25.012,0,1,1.557,1.557,15.918,1,1,2,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I'm not sure,2,Researchers lie a lot,2,Because I was the one that was selected to do the assigning,1,NA,No,41,1,NA,7,5,1,1,6392NwKkvp,MoHi_Study2,NA,2,R_2QKbCIre1EFUQOT,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player2-Republican,OK -- no issues,300,NA,NA,no,yes,ready,participantStatus,1,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1," *** Player3-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br>Player2-Republican: Hello
<br>Player3-Democrat: Hello all
<br>Player1-Democrat: afternoon
<br>Player4-Republican: hi
<br>Player3-Democrat: I found it hard to estimate the number of dots personally but I always overestimate everything so I'm not surprised
<br>Player2-Republican: I thought it was hard because of the limited amount of time
<br>Player1-Democrat: the lack of definable pattern on mine made it difficult
<br>Player1-Democrat: tiem was also an issue for me
<br> *** Player3-Democrat has left the chat ***
<br> *** Player2-Republican has left the chat ***
<br>Player4-Republican: i usually underestimate because i am horrible at counting things quickly
<br>",NA,chatLog,NA,NA,NA,1,self,NA,3.6666666666666665,7
2023-09-12T16:00:48Z,2023-09-12T16:07:55Z,0,184.58.80.18,100,426,1,2023-09-12T16:07:56Z,R_1er92hGVkcXsB0h,NA,NA,NA,NA,37.1511,-83.7793,anonymous,EN,1,649d809191fa2e4b6e84c69e,1,0,0,8.204,0,0,0,3.007,0,103,0,0,22.709,0,6,5,5,2,1,1,NA,NA,NA,NA,NA,NA,0,0,21.28,0,1,4,792,353,Region #2,14,3,0,0,7.737,0,9.547,11.758,12.049,2,0,0,25.117,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,10,None,NA,NA,NA,NA,0,0,45.006,0,NA,NA,NA,NA,NA,NA,NA,NA,I do not know,1,NA,1,NA,1,NA,No,19,2,NA,7,2,1,1,6392NwKkvp,MoHi_Study2,NA,6,R_1er92hGVkcXsB0h,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player1-Democrat,OK -- no issues,300,NA,NA,no,yes,ready,participantStatus,1,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1," *** Player1-Democrat has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player3-Democrat has joined the chat ***
<br>Player1-Democrat: Hello
<br>Player2-Republican: Hello everyone
<br>Player3-Democrat: Hi Everyone 
<br>Player4-Republican: Well I found out I'm an overestimator.
<br>Player2-Republican: I was labeled over esimater
<br>Player1-Democrat: Same I am as well
<br>Player3-Democrat: The task was simple and straight to the point, I felt it was hard to because of how quickly it flashed 
<br>Player2-Republican: I always hought of myself as an under estimater
<br>Player1-Democrat: I agree
<br>Player4-Republican: There was a lot to take in.
<br> *** Player1-Democrat has left the chat ***
<br> *** Player4-Republican has left the chat ***
<br>",NA,chatLog,NA,NA,NA,4,outgroup,4,NA,3
2023-09-12T15:59:26Z,2023-09-12T16:08:54Z,0,67.175.148.179,100,567,1,2023-09-12T16:08:55Z,R_2xzrNfP41DnCSu4,NA,NA,NA,NA,41.6227,-86.2452,anonymous,EN,1,5dd329e3270f4433de53299a,1,0,0,7.206,0,0,0,3.008,0,75,0,0,7.81,0,7,7,7,1,1,1,NA,NA,NA,NA,NA,NA,0,0,21.579,0,1,4,142,355,Region #1,17,3,0,0,15.739,0,0,0,17.491,0,0,0,25.008,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,7,no,0,0,45.108,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I don't know,1,NA,1,NA,1,NA,NA,27,2,NA,7,1,1,1,6392NwKkvp,MoHi_Study2,NA,3,R_2xzrNfP41DnCSu4,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player1-Democrat,OK -- no issues,300,NA,NA,no,yes,ready,participantStatus,1,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1," *** Player3-Democrat has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br>Player2-Republican: Hello!
<br>Player1-Democrat: hello
<br>Player2-Republican: How's it going
<br>Player3-Democrat: hey
<br>Player4-Republican: there were so many dots lol
<br>Player1-Democrat: good, you?
<br>Player2-Republican: I guess I am a total underestimator lol. Good thanks!
<br>Player4-Republican: i overestimated
<br> *** Player3-Democrat has left the chat ***
<br> *** Player1-Democrat has left the chat ***
<br>",NA,chatLog,NA,NA,NA,3,ingroup,6,NA,4
2023-09-12T16:02:20Z,2023-09-12T16:09:24Z,0,72.22.186.206,100,423,1,2023-09-12T16:09:25Z,R_2vkVRmzEak3CxKo,NA,NA,NA,NA,40.7434,-73.0761,anonymous,EN,1,5a4ffbc076d1c60001aa9438,1,0,0,33.43,0,0,0,3.118,0,45,0,0,36.647,0,7,7,7,1,1,1,NA,NA,NA,NA,NA,NA,0,0,21.075,0,1,4,549,331,Region #2,15,3,0,0,6.812,0,0,0,11.187,0,0,0,25.014,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,45.109,0,1,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I am not sure.,1,NA,1,NA,1,NA,NA,28,2,NA,7,1,1,1,6392NwKkvp,MoHi_Study2,NA,12,R_2vkVRmzEak3CxKo,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player3-Democrat,OK -- no issues,300,NA,NA,no,yes,ready,participantStatus,1,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1," *** Player3-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br>Player3-Democrat: Hi everyone 
<br>Player4-Republican: Hello! 
<br>Player1-Democrat: Hi
<br>Player2-Republican: It was tricky.
<br>Player2-Republican: Hello
<br>Player3-Democrat: Yea it was difficult
<br>Player2-Republican: There were large and small dots.
<br>Player1-Democrat: i guessed too low
<br>Player4-Republican: It was, I was an underestimater... 
<br>Player2-Republican: I guessed too high
<br> *** Player3-Democrat has left the chat ***
<br> *** Player2-Republican has left the chat ***
<br>",NA,chatLog,NA,NA,NA,2,other,6,NA,5
2023-09-12T15:59:10Z,2023-09-12T16:09:36Z,0,174.197.33.74,100,626,1,2023-09-12T16:09:37Z,R_27DtpP1aeGIw8de,NA,NA,NA,NA,29.4436,-98.4815,anonymous,EN,1,64013d507ab5a4cdc0c1a29a,1,0,0,7.952,0,0,0,3.111,0,150,0,0,10.321,0,NA,NA,NA,NA,NA,NA,7,7,7,1,1,1,9.803,15.699,21.846,2,1,1,869,49,Region #2,16,3,0,0,10.75,0,7.582,14.905,16.449,3,0,0,25.115,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,45.114,0,2,4,10,No i think it sounds like a fair thing to do.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I think it was about different views as far is political party and if one would be treated unfairly based on their preference.,1,NA,1,NA,1,NA,Fun survey,31,1,NA,4,5,1,1,6392NwKkvp,MoHi_Study2,NA,3,R_27DtpP1aeGIw8de,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player2-Republican,OK -- no issues,300,NA,NA,no,yes,ready,participantStatus,1,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1," *** Player3-Democrat has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br>Player2-Republican: Hello!
<br>Player1-Democrat: hello
<br>Player2-Republican: How's it going
<br>Player3-Democrat: hey
<br>Player4-Republican: there were so many dots lol
<br>Player1-Democrat: good, you?
<br>Player2-Republican: I guess I am a total underestimator lol. Good thanks!
<br>Player4-Republican: i overestimated
<br> *** Player3-Democrat has left the chat ***
<br> *** Player1-Democrat has left the chat ***
<br> *** Player2-Republican has left the chat ***
<br>",NA,chatLog,NA,NA,NA,2,other,NA,6,4
2023-09-12T15:59:41Z,2023-09-12T16:09:42Z,0,185.74.168.174,100,601,1,2023-09-12T16:09:43Z,R_10Uil6yjSfFr6uo,NA,NA,NA,NA,45.6574,-68.7102,anonymous,EN,1,5bf368846edd7200017136c7,1,0,0,62.308,0,0,0,3.116,0,80,0,0,24.021,0,NA,NA,NA,NA,NA,NA,7,7,7,1,1,1,0,0,21.487,0,1,4,564,337,Region #2,14,3,0,0,8.084,0,0,0,10.941,0,0,0,25.111,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,10,no,NA,NA,NA,NA,NA,NA,NA,NA,0,0,45.108,0,NA,NA,NA,NA,perceptions of Republicans vs Democrats,2,I did until I was told they were Democrats and Republicans.,1,NA,1,NA,no,32,2,NA,7,7,1,1,6392NwKkvp,MoHi_Study2,NA,7,R_10Uil6yjSfFr6uo,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player4-Republican,OK -- no issues,300,NA,NA,no,yes,ready,participantStatus,1,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1," *** Player3-Democrat has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br>Player4-Republican: I would have liked to see the dots a bit longer.
<br>Player1-Democrat: I didn't think it was hard to estimate, but apparently I did. 
<br>Player2-Republican: The experience was frivolous.
<br>Player3-Democrat: Not sure how I feel about being an overestimator. It was a bit tricky trying to complete the task accurately.
<br>Player1-Democrat: I agree player 2
<br> *** Player3-Democrat has left the chat ***
<br> *** Player1-Democrat has left the chat ***
<br> *** Player4-Republican has left the chat ***
<br>",NA,chatLog,NA,NA,NA,4,outgroup,NA,6,5
2023-09-12T15:58:38Z,2023-09-12T16:10:07Z,0,174.81.212.61,100,689,1,2023-09-12T16:10:08Z,R_6JTLRiWm9SbU6sN,NA,NA,NA,NA,43.2701,-83.557,anonymous,EN,1,5cc5e72ce3c44e0015fdf990,1,0,0,9.165,0,0,0,3.118,0,150,0,0,0.435,0,3,3,2,1,1,1,NA,NA,NA,NA,NA,NA,0,0,22.216,0,1,4,690,89,Region #2,14,3,0,0,14.029,0,0,0,27.002,0,0,0,25.114,0,1,22.565,22.565,23.74,1,1,3,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,to see how people favor themselves when it comes to difficult and time consuming activities over others,2,the matching happened too quickly and there wasn't any delay where participants joined and quit,4,NA,1,NA,NA,21,3,NA,7,1,1,1,6392NwKkvp,MoHi_Study2,NA,2,R_6JTLRiWm9SbU6sN,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player1-Democrat,OK -- no issues,300,NA,NA,no,yes,ready,participantStatus,1,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1," *** Player3-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br>Player2-Republican: Hello
<br>Player3-Democrat: Hello all
<br>Player1-Democrat: afternoon
<br>Player4-Republican: hi
<br>Player3-Democrat: I found it hard to estimate the number of dots personally but I always overestimate everything so I'm not surprised
<br>Player2-Republican: I thought it was hard because of the limited amount of time
<br>Player1-Democrat: the lack of definable pattern on mine made it difficult
<br>Player1-Democrat: tiem was also an issue for me
<br> *** Player3-Democrat has left the chat ***
<br> *** Player2-Republican has left the chat ***
<br>Player4-Republican: i usually underestimate because i am horrible at counting things quickly
<br> *** Player1-Democrat has left the chat ***
<br>",NA,chatLog,NA,NA,NA,1,self,1.6666666666666667,NA,5
2023-09-12T15:59:11Z,2023-09-12T16:10:15Z,0,70.171.250.198,100,663,1,2023-09-12T16:10:16Z,R_3ff7L4SNiILjxsn,NA,NA,NA,NA,33.4475,-112.0866,anonymous,EN,1,6406300d0af7758269c8dc0b,1,0,0,22.619,0,0,0,3.11,0,85,0,0,28.659,0,NA,NA,NA,NA,NA,NA,6,6,6,2,2,2,9.769,11.931,91.557,2,1,4,408,49,Region #1,14,3,0,0,7.811,0,11.044,12.552,12.771,2,0,0,26.351,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,10,I don't see how it is blind when they obviously picked the easier study to take.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,46.332,0,I am not sure.,1,NA,1,NA,1,NA,"Nothing else to add, thank you.",16,1,NA,7,6,1,1,6392NwKkvp,MoHi_Study2,NA,2,R_3ff7L4SNiILjxsn,4,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican",Player4-Republican,OK -- no issues,300,NA,NA,no,yes,ready,participantStatus,1,1,"Player1-Democrat,Player2-Republican,Player3-Democrat,Player4-Republican","null,null,null,null",Please wait for the other participants. The chat will start soon. Do not refresh this page.,1," *** Player3-Democrat has joined the chat ***
<br> *** Player2-Republican has joined the chat ***
<br> *** Player1-Democrat has joined the chat ***
<br> *** Player4-Republican has joined the chat ***
<br>Player2-Republican: Hello
<br>Player3-Democrat: Hello all
<br>Player1-Democrat: afternoon
<br>Player4-Republican: hi
<br>Player3-Democrat: I found it hard to estimate the number of dots personally but I always overestimate everything so I'm not surprised
<br>Player2-Republican: I thought it was hard because of the limited amount of time
<br>Player1-Democrat: the lack of definable pattern on mine made it difficult
<br>Player1-Democrat: tiem was also an issue for me
<br> *** Player3-Democrat has left the chat ***
<br> *** Player2-Republican has left the chat ***
<br>Player4-Republican: i usually underestimate because i am horrible at counting things quickly
<br> *** Player1-Democrat has left the chat ***
<br> *** Player4-Republican has left the chat ***
<br>",NA,chatLog,NA,NA,NA,3,ingroup,NA,4,2
