"","participantRole","condition","condition.f","fairness","cond1_selection","redgreen_selection","attn_check","manip_check1","manip_check2","pol_id","pol_or","CI_difference"
"1","Player3-Democrat",4,"outgroup",4,NA,NA,3,1,2,"Dem",2,0
"2","Player3-Democrat",1,"self",3,1,1,3,1,4,"Dem",1,2.33333333333333
"3","Player2-Republican",1,"self",7,1,1,3,2,2,"Rep",5,3.66666666666667
"4","Player1-Democrat",4,"outgroup",3,NA,NA,3,1,1,"Dem",2,4
"5","Player1-Democrat",3,"ingroup",4,NA,NA,3,1,1,"Dem",1,6
"6","Player3-Democrat",2,"other",5,NA,NA,3,1,1,"Dem",1,6
"7","Player2-Republican",2,"other",4,NA,NA,3,1,1,"Rep",5,6
"8","Player1-Democrat",1,"self",5,1,1,3,2,4,"Dem",1,1.66666666666667
"9","Player4-Republican",3,"ingroup",2,NA,NA,3,1,1,"Rep",6,4
"10","Player4-Republican",3,"ingroup",5,NA,NA,3,1,1,"Rep",7,2
"11","Player4-Republican",4,"outgroup",4,NA,NA,3,1,1,"Rep",5,4
"12","Player3-Democrat",4,"outgroup",4,NA,NA,3,1,1,"Dem",1,4.66666666666667
"13","Player4-Republican",1,"self",3,1,1,3,1,4,"Rep",4,-2
"14","Player1-Democrat",2,"other",3,NA,NA,3,1,1,"Dem",2,4.33333333333333
"15","Player3-Democrat",1,"self",3,1,1,3,1,4,"Dem",2,1
"16","Player3-Democrat",3,"ingroup",4,NA,NA,3,1,1,"Dem",2,5
"17","Player4-Republican",1,"self",7,2,NA,3,1,4,"Rep",7,5
"18","Player2-Republican",2,"other",2,NA,NA,3,1,1,"Rep",7,4
"19","Player4-Republican",3,"ingroup",6,NA,NA,3,2,2,"Rep",6,4
"20","Player2-Republican",3,"ingroup",4,NA,NA,3,1,1,"Rep",7,1
"21","Player2-Republican",1,"self",1,1,1,3,1,1,"Rep",7,5.66666666666667
"22","Player1-Democrat",2,"other",6,NA,NA,3,2,2,"Dem",2,3
"23","Player2-Republican",2,"other",5,NA,NA,3,1,1,"Rep",6,4
"24","Player4-Republican",4,"outgroup",3,NA,NA,3,1,1,"Rep",6,4.33333333333333
"25","Player4-Republican",4,"outgroup",4,NA,NA,3,1,1,"Rep",5,2.33333333333333
"26","Player3-Democrat",4,"outgroup",5,NA,NA,3,1,1,"Dem",1,5.33333333333333
